condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage)
1-Motor-FF,NSV,0.65,650 MS.,TRUE,0.68,0.28,0.03,1.046075596,0.046075596,-0.046075596
1-Motor-FF,NSV,0.65,650 MS.,TRUE,0.6,0.39,-0.05,0.923066835,-0.076933165,0.076933165
1-Motor-FF,NSV,0.65,650 MS.,TRUE,0.55,0.36,-0.1,0.849140519,-0.150859481,0.150859481
1-Motor-FF,NSV,0.65,650 MS.,TRUE,0.61,0.24,-0.04,0.935347315,-0.064652685,0.064652685
2-Control-FR,NSV,0.75,750-1150 MS.,,0.3,0.45,-0.45,0.404455325,-0.595544675,0.595544675
2-Control-FR,NSV,0.73,450-750 MS.,,0.35,0.46,-0.38,0.483384514,-0.516615486,0.516615486
2-Control-FR,NSV,0.46,450-750 MS.,,0.2,0.43,-0.26,0.439088048,-0.560911952,0.560911952
2-Control-FR,NSV,0.42,150-450 MS.,,0.25,0.37,-0.17,0.594749627,-0.405250373,0.405250373
2-Control-FR,NSV,0.46,450-750 MS.,,0.22,0.48,-0.24,0.487944381,-0.512055619,0.512055619
2-Control-FR,NSV,0.35,150-450 MS.,,0.2,0.28,-0.15,0.573306158,-0.426693842,0.426693842
2-Control-FR,NSV,0.98,750-1150 MS.,,0.43,0.34,-0.54,0.442382394,-0.557617606,0.557617606
2-Control-FR,NSV,0.48,450-750 MS.,,0.2,0.32,-0.28,0.419820867,-0.580179133,0.580179133
2-Control-FR,NSV,1.11,750-1150 MS.,,0.38,0.36,-0.73,0.346145025,-0.653854975,0.653854975
2-Control-FR,NSV,0.21,150-450 MS.,,0.18,0.45,-0.03,0.870233072,-0.129766928,0.129766928
2-Control-FR,NSV,1.04,750-1150 MS.,,0.2,0.53,-0.84,0.193194979,-0.806805021,0.806805021
2-Control-FR,NSV,0.37,150-450 MS.,,0.22,0.58,-0.15,0.598137149,-0.401862851,0.401862851
2-Control-FR,NSV,0.32,150-450 MS.,,0.29,0.65,-0.03,0.90153725,-0.09846275,0.09846275
2-Control-FR,NSV,0.52,450-750 MS.,,0.39,0.53,-0.13,0.747038045,-0.252961955,0.252961955
2-Control-FR,NSV,0.33,150-450 MS.,,0.29,0.66,-0.04,0.875313264,-0.124686736,0.124686736
2-Control-FR,NSV,0.18,150-450 MS.,,0.22,0.54,0.04,1.214158746,0.214158746,-0.214158746
2-Control-FR,NSV,0.18,150-450 MS.,,0.2,0.5,0.02,1.133260541,0.133260541,-0.133260541
2-Control-FR,NSV,0.53,450-750 MS.,,0.27,0.41,-0.26,0.514839352,-0.485160648,0.485160648
2-Control-FR,NSV,0.2,150-450 MS.,,0.21,0.51,0,1.01663639,0.01663639,-0.01663639
2-Control-FR,NSV,0.28,150-450 MS.,,0.2,0.46,-0.08,0.715770319,-0.284229681,0.284229681
2-Control-FR,NSV,0.59,450-750 MS.,,0.23,0.42,-0.35,0.395254128,-0.604745872,0.604745872
2-Control-FR,NSV,0.71,450-750 MS.,,0.27,0.47,-0.44,0.382963538,-0.617036462,0.617036462
2-Control-FR,NSV,1.11,750-1150 MS.,,0.38,0.32,-0.72,0.34692316,-0.65307684,0.65307684
2-Control-FR,NSV,0.66,450-750 MS.,,0.25,0.23,-0.41,0.378457171,-0.621542829,0.621542829
2-Control-FR,NSV,0.35,150-450 MS.,,0.26,0.42,-0.1,0.721805852,-0.278194148,0.278194148
2-Control-FR,NSV,0.18,150-450 MS.,,0.26,0.49,0.08,1.421560787,0.421560787,-0.421560787
2-Control-FR,NSV,0.87,750-1150 MS.,,0.23,0.49,-0.63,0.267908685,-0.732091315,0.732091315
2-Control-FR,NSV,0.92,750-1150 MS.,,0.39,0.41,-0.52,0.427895283,-0.572104717,0.572104717
2-Control-FR,NSV,1.06,750-1150 MS.,,0.36,0.3,-0.7,0.338973111,-0.661026889,0.661026889
2-Control-FR,NSV,0.62,450-750 MS.,,0.38,0.36,-0.23,0.621169026,-0.378830974,0.378830974
2-Control-FR,NSV,0.86,750-1150 MS.,,0.38,0.43,-0.48,0.438137256,-0.561862744,0.561862744
2-Control-FR,NSV,0.8,750-1150 MS.,,0.39,0.33,-0.41,0.487356442,-0.512643558,0.512643558
2-Control-FR,NSV,0.42,150-450 MS.,,0.39,0.43,-0.03,0.935683862,-0.064316138,0.064316138
2-Control-FR,NSV,0.82,750-1150 MS.,,0.38,0.42,-0.44,0.459888345,-0.540111655,0.540111655
2-Control-FR,NSV,1.05,750-1150 MS.,,0.41,0.32,-0.64,0.389680446,-0.610319554,0.610319554
2-Control-FR,NSV,0.89,750-1150 MS.,,0.45,0.36,-0.45,0.501486339,-0.498513661,0.498513661
2-Control-FR,NSV,1.08,750-1150 MS.,,0.3,0.32,-0.79,0.272989241,-0.727010759,0.727010759
2-Control-FR,NSV,1,750-1150 MS.,,0.47,0.4,-0.52,0.473610596,-0.526389404,0.526389404
2-Control-FR,NSV,0.73,450-750 MS.,,0.23,0.32,-0.5,0.31679192,-0.68320808,0.68320808
2-Control-FR,NSV,0.71,450-750 MS.,,0.29,0.23,-0.42,0.408295706,-0.591704294,0.591704294
2-Control-FR,NSV,1.06,750-1150 MS.,,0.22,0.38,-0.84,0.204172712,-0.795827288,0.795827288
2-Control-FR,NSV,1.11,750-1150 MS.,,0.34,0.2,-0.77,0.309236447,-0.690763553,0.690763553
2-Control-FR,NSV,0.22,150-450 MS.,,0.25,0.46,0.03,1.128415004,0.128415004,-0.128415004
2-Control-FR,NSV,0.86,750-1150 MS.,,0.22,0.51,-0.64,0.259685891,-0.740314109,0.740314109
2-Control-FR,NSV,0.8,750-1150 MS.,,0.33,0.43,-0.48,0.40749728,-0.59250272,0.59250272
2-Control-FR,NSV,0.51,450-750 MS.,,0.25,0.45,-0.26,0.486389214,-0.513610786,0.513610786
2-Control-FR,NSV,0.33,150-450 MS.,,0.23,0.47,-0.1,0.703390882,-0.296609118,0.296609118
2-Control-FR,NSV,0.98,750-1150 MS.,,0.26,0.25,-0.72,0.262401998,-0.737598002,0.737598002
2-Control-FR,NSV,0.96,750-1150 MS.,,0.32,0.21,-0.64,0.334513917,-0.665486083,0.665486083
2-Control-FR,NSV,0.41,150-450 MS.,,0.22,0.27,-0.19,0.540081411,-0.459918589,0.459918589
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.62,0.41,-0.03,0.959919241,-0.040080759,0.040080759
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.52,0.23,-0.13,0.799978683,-0.200021317,0.200021317
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.46,0.23,-0.19,0.701517724,-0.298482276,0.298482276
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.49,0.28,-0.16,0.750757634,-0.249242366,0.249242366
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.34,0.36,-0.31,0.529201943,-0.470798057,0.470798057
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.24,0.21,-0.41,0.369192522,-0.630807478,0.630807478
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.6,0.15,-0.05,0.923023411,-0.076976589,0.076976589
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.46,0.2,-0.19,0.713897332,-0.286102668,0.286102668
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.63,0.31,-0.02,0.972275603,-0.027724397,0.027724397
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.49,0.35,-0.16,0.75078088,-0.24921912,0.24921912
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.58,0.31,-0.07,0.898417273,-0.101582727,0.101582727
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.46,0.25,-0.19,0.713849961,-0.286150039,0.286150039
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.59,0.25,-0.06,0.910706964,-0.089293036,0.089293036
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.43,0.17,-0.22,0.66470874,-0.33529126,0.33529126
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.73,0.34,0.08,1.119925154,0.119925154,-0.119925154
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.7,0.22,0.05,1.070756739,0.070756739,-0.070756739
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.64,0.21,-0.01,0.984517923,-0.015482077,0.015482077
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.7,0.37,0.05,1.070785688,0.070785688,-0.070785688
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.62,0.32,-0.03,0.947661569,-0.052338431,0.052338431
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.79,0.31,0.14,1.218432607,0.218432607,-0.218432607
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.45,0.17,-0.2,0.689191627,-0.310808373,0.310808373
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,1.18,0.37,0.53,1.821509986,0.821509986,-0.821509986
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.34,0.29,-0.31,0.529331336,-0.470668664,0.470668664
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.64,0.38,-0.01,0.984597313,-0.015402687,0.015402687
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.37,0.3,-0.28,0.566120581,-0.433879419,0.433879419
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.95,0.3,0.3,1.464639175,0.464639175,-0.464639175
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.64,0.28,-0.01,0.984564417,-0.015435583,0.015435583
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.52,0.27,-0.13,0.799928242,-0.200071758,0.200071758
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.54,0.1,-0.11,0.824668598,-0.175331402,0.175331402
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.49,0.12,-0.16,0.750735264,-0.249264736,0.249264736
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.2,0.18,-0.45,0.307682658,-0.692317342,0.692317342
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.26,0.21,-0.39,0.406159408,-0.593840592,0.593840592
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.52,0.13,-0.13,0.799972542,-0.200027458,0.200027458
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.38,0.23,-0.27,0.578459398,-0.421540602,0.421540602
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.23,0.21,-0.42,0.35685195,-0.64314805,0.64314805
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.35,0.12,-0.3,0.541533303,-0.458466697,0.458466697
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.34,0.11,-0.31,0.529180012,-0.470819988,0.470819988
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.3,0.24,-0.35,0.467670149,-0.532329851,0.532329851
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.29,0.32,-0.36,0.443046904,-0.556953096,0.556953096
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.7,0.25,0.05,1.083041605,0.083041605,-0.083041605
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.46,0.38,-0.19,0.71381224,-0.28618776,0.28618776
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.7,0.28,0.05,1.083024499,0.083024499,-0.083024499
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.37,0.21,-0.28,0.566157425,-0.433842575,0.433842575
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.71,0.14,0.06,1.095357175,0.095357175,-0.095357175
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.31,0.2,-0.34,0.479949313,-0.520050687,0.520050687
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.34,0.11,-0.31,0.529340547,-0.470659453,0.470659453
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.42,0.21,-0.23,0.652303692,-0.347696308,0.347696308
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.43,0.16,-0.22,0.66457847,-0.33542153,0.33542153
3-Prediction-FF,NSV,0.65,650 MS.,TRUE,0.66,0.12,0.01,1.009204768,0.009204768,-0.009204768
3-Prediction-FF,NSV,0.65,650 MS.,FALSE,0.45,0.11,-0.2,0.689239875,-0.310760125,0.310760125
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.31,0.46,-0.34,0.479972999,-0.520027001,0.520027001
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.53,0.18,-0.12,0.812296885,-0.187703115,0.187703115
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.62,0.4,-0.03,0.947641393,-0.052358607,0.052358607
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.46,0.32,-0.19,0.701551936,-0.298448064,0.298448064
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.54,0.34,-0.11,0.836888987,-0.163111013,0.163111013
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.46,0.4,-0.19,0.701502372,-0.298497628,0.298497628
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.4,0.35,-0.25,0.615352157,-0.384647843,0.384647843
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.47,0.22,-0.18,0.726163776,-0.273836224,0.273836224
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.38,0.23,-0.27,0.590713561,-0.409286439,0.409286439
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.55,0.32,-0.1,0.849193153,-0.150806847,0.150806847
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.63,0.42,-0.02,0.972273848,-0.027726152,0.027726152
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.68,0.35,0.03,1.046141828,0.046141828,-0.046141828
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.53,0.42,-0.12,0.812279778,-0.187720222,0.187720222
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.57,0.27,-0.08,0.873829995,-0.126170005,0.126170005
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.5,0.43,-0.15,0.775311138,-0.224688862,0.224688862
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.54,0.29,-0.11,0.836915305,-0.163084695,0.163084695
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.34,0.35,-0.31,0.529240103,-0.470759897,0.470759897
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.5,0.27,-0.15,0.763071449,-0.236928551,0.236928551
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.33,0.3,-0.32,0.504592296,-0.495407704,0.495407704
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.26,0.31,-0.39,0.406106335,-0.593893665,0.593893665
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.26,0.29,-0.39,0.406119055,-0.593880945,0.593880945
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.39,0.25,-0.26,0.603123434,-0.396876566,0.396876566
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.23,0.14,-0.42,0.356959851,-0.643040149,0.643040149
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.23,0.21,-0.42,0.356917743,-0.643082257,0.643082257
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.27,0.29,-0.38,0.418465328,-0.581534672,0.581534672
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.26,0.43,-0.39,0.406086597,-0.593913403,0.593913403
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.26,0.18,-0.39,0.406156776,-0.593843224,0.593843224
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.22,0.1,-0.43,0.332266427,-0.667733573,0.667733573
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.24,0.09,-0.41,0.369188135,-0.630811865,0.630811865
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.25,0.11,-0.4,0.3815116,-0.6184884,0.6184884
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.24,0.09,-0.41,0.369232436,-0.630767564,0.630767564
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.22,0.09,-0.43,0.344619718,-0.655380282,0.655380282
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.25,0.06,-0.4,0.381483967,-0.618516033,0.618516033
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.23,0.12,-0.42,0.356881338,-0.643118662,0.643118662
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.24,0.1,-0.41,0.369181117,-0.630818883,0.630818883
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.23,0.13,-0.42,0.356996256,-0.643003744,0.643003744
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.26,0.13,-0.39,0.406111598,-0.593888402,0.593888402
4-Motor-RF,NSV,0.65,650 MS.,FALSE,0.24,0.1,-0.41,0.369196031,-0.630803969,0.630803969
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.26,0.12,-0.39,0.393778483,-0.606221517,0.606221517
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.27,0.12,-0.38,0.418396903,-0.581603097,0.581603097
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.24,0.09,-0.41,0.369061374,-0.630938626,0.630938626
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.18,0.06,-0.47,0.283040553,-0.716959447,0.716959447
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.19,0.05,-0.46,0.29536665,-0.70463335,0.70463335
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.18,0.06,-0.47,0.28300634,-0.71699366,0.71699366
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.19,0,-0.46,0.295127602,-0.704872398,0.704872398
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.19,0.01,-0.46,0.29501049,-0.70498951,0.70498951
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.18,0,-0.47,0.282824752,-0.717175248,0.717175248
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.21,0,-0.44,0.319727599,-0.680272401,0.680272401
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.2,0.06,-0.45,0.307706344,-0.692293656,0.692293656
4-Motor-RF,NSV,0.65,650 MS.,TRUE,0.21,0.07,-0.44,0.31994998,-0.68005002,0.68005002
5-Control-RF,NSV,0.65,650 MS.,,0.46,0.29,-0.19,0.701532637,-0.298467363,0.298467363
5-Control-RF,NSV,0.65,650 MS.,,0.45,0.14,-0.2,0.689171889,-0.310828111,0.310828111
5-Control-RF,NSV,0.65,650 MS.,,0.5,0.22,-0.15,0.775318156,-0.224681844,0.224681844
5-Control-RF,NSV,0.65,650 MS.,,0.41,0.18,-0.24,0.627704572,-0.372295428,0.372295428
5-Control-RF,NSV,0.65,650 MS.,,0.45,0.17,-0.2,0.689164432,-0.310835568,0.310835568
5-Control-RF,NSV,0.65,650 MS.,,0.35,0.2,-0.3,0.541558305,-0.458441695,0.458441695
5-Control-RF,NSV,0.65,650 MS.,,0.43,0.07,-0.22,0.664588997,-0.335411003,0.335411003
5-Control-RF,NSV,0.65,650 MS.,,0.35,0.07,-0.3,0.541553918,-0.458446082,0.458446082
5-Control-RF,NSV,0.65,650 MS.,,0.41,0.08,-0.24,0.627655008,-0.372344992,0.372344992
5-Control-RF,NSV,0.65,650 MS.,,0.5,0.06,-0.15,0.763013551,-0.236986449,0.236986449
5-Control-RF,NSV,0.65,650 MS.,,0.48,0.06,-0.17,0.738442064,-0.261557936,0.261557936
5-Control-RF,NSV,0.65,650 MS.,,0.48,0.19,-0.17,0.738424519,-0.261575481,0.261575481
5-Control-RF,NSV,0.65,650 MS.,,0.55,0.13,-0.1,0.849158941,-0.150841059,0.150841059
5-Control-RF,NSV,0.65,650 MS.,,0.58,0.15,-0.07,0.886085913,-0.113914087,0.113914087
5-Control-RF,NSV,0.65,650 MS.,,0.5,0.25,-0.15,0.763069256,-0.236930744,0.236930744
5-Control-RF,NSV,0.65,650 MS.,,0.52,0.1,-0.13,0.799949296,-0.200050704,0.200050704
5-Control-RF,NSV,0.65,650 MS.,,0.6,0.38,-0.05,0.92303964,-0.07696036,0.07696036
5-Control-RF,NSV,0.65,650 MS.,,0.42,0.34,-0.23,0.639964437,-0.360035563,0.360035563
5-Control-RF,NSV,0.65,650 MS.,,0.38,0.22,-0.27,0.578460275,-0.421539725,0.421539725
5-Control-RF,NSV,0.65,650 MS.,,0.4,0.21,-0.25,0.615364877,-0.384635123,0.384635123
5-Control-RF,NSV,0.65,650 MS.,,0.42,0.2,-0.23,0.652293604,-0.347706396,0.347706396
5-Control-RF,NSV,0.65,650 MS.,,0.39,0.27,-0.26,0.603082204,-0.396917796,0.396917796
5-Control-RF,NSV,0.65,650 MS.,,0.44,0.15,-0.21,0.676831318,-0.323168682,0.323168682
5-Control-RF,NSV,0.65,650 MS.,,0.43,0.09,-0.22,0.664480658,-0.335519342,0.335519342
5-Control-RF,NSV,0.65,650 MS.,,0.46,0.07,-0.19,0.701528689,-0.298471311,0.298471311
5-Control-RF,NSV,0.65,650 MS.,,0.55,0.16,-0.1,0.849131746,-0.150868254,0.150868254
5-Control-RF,NSV,0.65,650 MS.,,0.48,0.27,-0.17,0.73843066,-0.26156934,0.26156934
5-Control-RF,NSV,0.65,650 MS.,,0.45,0.29,-0.2,0.689154783,-0.310845217,0.310845217
5-Control-RF,NSV,0.65,650 MS.,,0.49,0.15,-0.16,0.750746668,-0.249253332,0.249253332
5-Control-RF,NSV,0.65,650 MS.,,0.61,0.47,-0.04,0.935369246,-0.064630754,0.064630754
5-Control-RF,NSV,0.65,650 MS.,,0.48,0.29,-0.17,0.738474083,-0.261525917,0.261525917
5-Control-RF,NSV,0.65,650 MS.,,0.44,0.26,-0.21,0.676901058,-0.323098942,0.323098942
5-Control-RF,NSV,0.65,650 MS.,,0.4,0.14,-0.25,0.615307857,-0.384692143,0.384692143
5-Control-RF,NSV,0.65,650 MS.,,0.36,0.09,-0.29,0.553760272,-0.446239728,0.446239728
5-Control-RF,NSV,0.65,650 MS.,,0.37,0.18,-0.28,0.566115318,-0.433884682,0.433884682
5-Control-RF,NSV,0.65,650 MS.,,0.38,0.16,-0.27,0.590736369,-0.409263631,0.409263631
5-Control-RF,NSV,0.65,650 MS.,,0.38,0.15,-0.27,0.578432204,-0.421567796,0.421567796
5-Control-RF,NSV,0.65,650 MS.,,0.31,0.22,-0.34,0.480014667,-0.519985333,0.519985333
5-Control-RF,NSV,0.65,650 MS.,,0.35,0.15,-0.3,0.541467949,-0.458532051,0.458532051
5-Control-RF,NSV,0.65,650 MS.,,0.36,0.26,-0.29,0.553894928,-0.446105072,0.446105072
5-Control-RF,NSV,0.65,650 MS.,,0.35,0.24,-0.3,0.541521899,-0.458478101,0.458478101
5-Control-RF,NSV,0.65,650 MS.,,0.36,0.16,-0.29,0.553834399,-0.446165601,0.446165601
5-Control-RF,NSV,0.65,650 MS.,,0.37,0.35,-0.28,0.566198217,-0.433801783,0.433801783
5-Control-RF,NSV,0.65,650 MS.,,0.41,0.28,-0.24,0.627633515,-0.372366485,0.372366485
5-Control-RF,NSV,0.65,650 MS.,,0.4,0.12,-0.25,0.615353035,-0.384646965,0.384646965
5-Control-RF,NSV,0.65,650 MS.,,0.31,0.25,-0.34,0.479973437,-0.520026563,0.520026563
5-Control-RF,NSV,0.65,650 MS.,,0.23,0.47,-0.42,0.356921691,-0.643078309,0.643078309
5-Control-RF,NSV,0.65,650 MS.,,0.27,0.18,-0.38,0.41844559,-0.58155441,0.58155441
5-Control-RF,NSV,0.65,650 MS.,,0.22,0.13,-0.43,0.3322559,-0.6677441,0.6677441
5-Control-RF,NSV,0.65,650 MS.,,0.2,0.13,-0.45,0.307702835,-0.692297165,0.692297165
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.55,0.05,-0.1,0.84922605,-0.15077395,0.15077395
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,0.78,0.28,0.13,1.193799274,0.193799274,-0.193799274
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.77,0.14,0.12,1.181508706,0.181508706,-0.181508706
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,1.06,0.06,0.41,1.624571838,0.624571838,-0.624571838
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,0.59,0.31,-0.06,0.91073372,-0.08926628,0.08926628
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,0.63,0.1,-0.02,0.972238759,-0.027761241,0.027761241
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,0.56,0.18,-0.09,0.86149688,-0.13850312,0.13850312
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.64,0.07,-0.01,0.984561785,-0.015438215,0.015438215
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.62,0.17,-0.03,0.959938541,-0.040061459,0.040061459
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,0.6,0.06,-0.05,0.922985252,-0.077014748,0.077014748
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.47,0.13,-0.18,0.726194041,-0.273805959,0.273805959
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.56,0.09,-0.09,0.861495564,-0.138504436,0.138504436
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.87,0.14,0.22,1.341454089,0.341454089,-0.341454089
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.88,0.07,0.23,1.353757816,0.353757816,-0.353757816
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.74,0.08,0.09,1.144568575,0.144568575,-0.144568575
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.83,0.06,0.18,1.279956507,0.279956507,-0.279956507
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,1,0.09,0.35,1.538388728,0.538388728,-0.538388728
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.93,0.07,0.28,1.427663517,0.427663517,-0.427663517
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.61,0.04,-0.04,0.935346877,-0.064653123,0.064653123
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,1.06,0.07,0.41,1.636885654,0.636885654,-0.636885654
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.76,0.13,0.11,1.169161116,0.169161116,-0.169161116
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.51,0.13,-0.14,0.787713993,-0.212286007,0.212286007
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.54,0.11,-0.11,0.824561575,-0.175438425,0.175438425
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.9,0.28,0.25,1.378440274,0.378440274,-0.378440274
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.54,0.07,-0.11,0.836913111,-0.163086889,0.163086889
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.72,0.08,0.07,1.107666166,0.107666166,-0.107666166
6-Prediction-RF,NSV,0.65,650 MS.,FALSE,1.25,0,0.6,1.919962173,0.919962173,-0.919962173
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,1.1,0.37,0.45,1.69841701,0.69841701,-0.69841701
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,1.04,0.4,0.39,1.599952103,0.599952103,-0.599952103
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.9,0.27,0.25,1.378417904,0.378417904,-0.378417904
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.7,0.19,0.05,1.083030201,0.083030201,-0.083030201
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,1.06,0.31,0.41,1.636876881,0.636876881,-0.636876881
6-Prediction-RF,NSV,0.65,650 MS.,TRUE,0.54,0.3,-0.11,0.824527362,-0.175472638,0.175472638
