condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage)
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.3,0.52,-0.35,0.467711607,-0.532288393,0.532288393
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.18,0.35,-0.47,0.283078239,-0.716921761,0.716921761
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.37,0.35,-0.28,0.566107351,-0.433892649,0.433892649
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.54,0.18,-0.11,0.824576347,-0.175423653,0.175423653
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.53,0.18,-0.12,0.81223532,-0.18776468,0.18776468
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.33,0.45,-0.32,0.5045917,-0.4954083,0.4954083
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.26,0.47,-0.39,0.393798783,-0.606201217,0.606201217
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.33,0.42,-0.32,0.50461012,-0.49538988,0.49538988
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.37,0.42,-0.28,0.566185865,-0.433814135,0.433814135
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.55,0.37,-0.1,0.849197872,-0.150802128,0.150802128
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.3,0.34,-0.35,0.467666429,-0.532333571,0.532333571
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.31,-0.31,0.529210593,-0.470789407,0.470789407
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.44,0.38,-0.21,0.676922199,-0.323077801,0.323077801
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.4,0.24,-0.25,0.61541488,-0.38458512,0.38458512
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.3,0.85,-0.35,0.467642305,-0.532357695,0.532357695
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.47,-0.31,0.516924392,-0.483075608,0.483075608
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.33,0.48,-0.32,0.504620208,-0.495379792,0.495379792
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.56,0.14,-0.09,0.861563023,-0.138436977,0.138436977
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.33,0.53,-0.32,0.504695653,-0.495304347,0.495304347
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.35,0.39,-0.3,0.541433632,-0.458566368,0.458566368
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.4,0.57,-0.25,0.61537672,-0.38462328,0.38462328
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.47,-0.31,0.516893689,-0.483106311,0.483106311
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.35,0.43,-0.3,0.541529251,-0.458470749,0.458470749
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.28,-0.31,0.529222435,-0.470777565,0.470777565
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.32,0.35,-0.33,0.492289708,-0.507710292,0.507710292
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.28,0.39,-0.37,0.430766599,-0.569233401,0.569233401
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.34,0.24,-0.31,0.516895882,-0.483104118,0.483104118
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.39,0.22,-0.26,0.603035254,-0.396964746,0.396964746
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.57,0.18,-0.08,0.873792641,-0.126207359,0.126207359
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.37,0.54,-0.28,0.566138933,-0.433861067,0.433861067
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.39,-0.31,0.516959922,-0.483040078,0.483040078
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.42,0.27,-0.23,0.652348485,-0.347651515,0.347651515
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.32,0.3,-0.33,0.492255936,-0.507744064,0.507744064
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.35,-0.31,0.529196556,-0.470803444,0.470803444
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.5,0.4,-0.15,0.763034378,-0.236965622,0.236965622
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.34,0.18,-0.31,0.529227698,-0.470772302,0.470772302
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.42,0.18,-0.23,0.639974122,-0.360025878,0.360025878
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.36,0.17,-0.29,0.553808871,-0.446191129,0.446191129
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.38,0.31,-0.27,0.590750809,-0.409249191,0.409249191
1-Motor-FF,BO,0.65,650 MS.,FALSE,0.34,0.18,-0.31,0.529247436,-0.470752564,0.470752564
1-Motor-FF,BO,0.65,650 MS.,TRUE,0.39,0.22,-0.26,0.603076485,-0.396923515,0.396923515
2-Control-FR,BO,0.21,150-450 MS.,,0.31,0.38,0.1,1.475521485,0.475521485,-0.475521485
