condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
2-Control-FR,ag,0.13,0-350 MS.,,0.25,0.12,1.98,0.98,-0.98
2-Control-FR,ag,0.62,350-750 MS.,,0.52,-0.1,0.84,-0.16,0.16
2-Control-FR,ag,1.01,750-1100 MS.,,0.49,-0.52,0.49,-0.51,0.51
2-Control-FR,ag,0.3,0-350 MS.,,0.4,0.1,1.35,0.35,-0.35
2-Control-FR,ag,0.1,0-350 MS.,,0.26,0.16,2.62,1.62,-1.62
2-Control-FR,ag,0.14,0-350 MS.,,0.3,0.17,2.25,1.25,-1.25
2-Control-FR,ag,0.95,750-1100 MS.,,0.98,0.03,1.03,0.03,-0.03
2-Control-FR,ag,0.1,0-350 MS.,,0.19,0.09,1.96,0.96,-0.96
2-Control-FR,ag,0.31,0-350 MS.,,0.31,0,1.01,0.01,-0.01
2-Control-FR,ag,0.64,350-750 MS.,,0.29,-0.35,0.45,-0.55,0.55
2-Control-FR,ag,1.04,750-1100 MS.,,1.28,0.24,1.23,0.23,-0.23
2-Control-FR,ag,0.13,0-350 MS.,,0.39,0.26,3.07,2.07,-2.07
2-Control-FR,ag,0.51,350-750 MS.,,0.55,0.05,1.09,0.09,-0.09
2-Control-FR,ag,0.5,350-750 MS.,,0.54,0.04,1.08,0.08,-0.08
2-Control-FR,ag,0.9,750-1100 MS.,,0.56,-0.34,0.62,-0.38,0.38
2-Control-FR,ag,0.3,0-350 MS.,,0.45,0.14,1.47,0.47,-0.47
2-Control-FR,ag,0.41,350-750 MS.,,0.46,0.05,1.12,0.12,-0.12
2-Control-FR,ag,0.66,350-750 MS.,,0.43,-0.23,0.65,-0.35,0.35
2-Control-FR,ag,1.08,750-1100 MS.,,1.75,0.67,1.62,0.62,-0.62
2-Control-FR,ag,0.66,350-750 MS.,,0.58,-0.08,0.87,-0.13,0.13
2-Control-FR,ag,0.04,0-350 MS.,,0.39,0.36,10.63,9.63,-9.63
2-Control-FR,ag,0.95,750-1100 MS.,,0.52,-0.43,0.55,-0.45,0.45
2-Control-FR,ag,0.2,0-350 MS.,,0.34,0.13,1.65,0.65,-0.65
2-Control-FR,ag,0.86,750-1100 MS.,,0.62,-0.24,0.72,-0.28,0.28
2-Control-FR,ag,0.65,350-750 MS.,,0.42,-0.23,0.65,-0.35,0.35
2-Control-FR,ag,0.91,750-1100 MS.,,0.63,-0.28,0.69,-0.31,0.31
2-Control-FR,ag,0.33,0-350 MS.,,0.5,0.16,1.49,0.49,-0.49
2-Control-FR,ag,1.02,750-1100 MS.,,0.71,-0.3,0.7,-0.3,0.3
2-Control-FR,ag,0.19,0-350 MS.,,0.26,0.07,1.37,0.37,-0.37
2-Control-FR,ag,0.86,750-1100 MS.,,0.75,-0.11,0.87,-0.13,0.13
2-Control-FR,ag,0.2,0-350 MS.,,0.31,0.11,1.54,0.54,-0.54
2-Control-FR,ag,0.94,750-1100 MS.,,0.78,-0.16,0.83,-0.17,0.17
2-Control-FR,ag,1.06,750-1100 MS.,,1.1,0.04,1.04,0.04,-0.04
2-Control-FR,ag,0.09,0-350 MS.,,0.2,0.11,2.22,1.22,-1.22
2-Control-FR,ag,0.96,750-1100 MS.,,1.05,0.09,1.09,0.09,-0.09
2-Control-FR,ag,0.29,0-350 MS.,,0.32,0.03,1.11,0.11,-0.11
2-Control-FR,ag,0.46,350-750 MS.,,0.48,0.02,1.04,0.04,-0.04
2-Control-FR,ag,0.27,0-350 MS.,,0.3,0.04,1.14,0.14,-0.14
2-Control-FR,ag,0.86,750-1100 MS.,,0.46,-0.41,0.53,-0.47,0.47
2-Control-FR,ag,0.1,0-350 MS.,,0.25,0.15,2.42,1.42,-1.42
2-Control-FR,bs,0.3,0-350 MS.,,0.26,-0.03,0.89,-0.11,0.11
2-Control-FR,bs,0.09,0-350 MS.,,0.18,0.09,2.05,1.05,-1.05
2-Control-FR,bs,0.33,0-350 MS.,,0.2,-0.13,0.6,-0.4,0.4
2-Control-FR,bs,0.66,350-750 MS.,,0.41,-0.25,0.62,-0.38,0.38
2-Control-FR,bs,0.58,350-750 MS.,,0.26,-0.32,0.45,-0.55,0.55
2-Control-FR,bs,0.66,350-750 MS.,,0.25,-0.41,0.38,-0.62,0.62
2-Control-FR,bs,0.27,0-350 MS.,,0.2,-0.07,0.75,-0.25,0.25
2-Control-FR,bs,1.02,750-1100 MS.,,0.4,-0.62,0.39,-0.61,0.61
2-Control-FR,bs,0.5,350-750 MS.,,0.22,-0.27,0.45,-0.55,0.55
2-Control-FR,bs,0.41,350-750 MS.,,0.29,-0.12,0.71,-0.29,0.29
2-Control-FR,bs,0.95,750-1100 MS.,,0.43,-0.52,0.45,-0.55,0.55
2-Control-FR,bs,1.04,750-1100 MS.,,0.29,-0.75,0.28,-0.72,0.72
2-Control-FR,bs,0.39,350-750 MS.,,0.19,-0.2,0.49,-0.51,0.51
2-Control-FR,bs,1.09,750-1100 MS.,,0.4,-0.69,0.37,-0.63,0.63
2-Control-FR,bs,0.3,0-350 MS.,,0.26,-0.04,0.87,-0.13,0.13
2-Control-FR,bs,0.14,0-350 MS.,,0.26,0.12,1.89,0.89,-0.89
2-Control-FR,bs,0.52,350-750 MS.,,0.38,-0.15,0.72,-0.28,0.28
2-Control-FR,bs,0.1,0-350 MS.,,0.29,0.19,2.81,1.81,-1.81
2-Control-FR,bs,1.08,750-1100 MS.,,0.52,-0.56,0.48,-0.52,0.52
2-Control-FR,bs,0.65,350-750 MS.,,0.58,-0.07,0.89,-0.11,0.11
2-Control-FR,bs,0.51,350-750 MS.,,0.55,0.05,1.09,0.09,-0.09
2-Control-FR,bs,0.04,0-350 MS.,,0.28,0.24,7.09,6.09,-6.09
2-Control-FR,bs,0.96,750-1100 MS.,,0.48,-0.48,0.5,-0.5,0.5
2-Control-FR,bs,0.13,0-350 MS.,,0.19,0.07,1.53,0.53,-0.53
2-Control-FR,bs,0.2,0-350 MS.,,0.28,0.08,1.38,0.38,-0.38
2-Control-FR,bs,1.01,750-1100 MS.,,0.4,-0.61,0.4,-0.6,0.6
2-Control-FR,bs,0.8,750-1100 MS.,,0.39,-0.41,0.49,-0.51,0.51
2-Control-FR,bs,0.19,0-350 MS.,,0.23,0.04,1.21,0.21,-0.21
2-Control-FR,bs,0.04,0-350 MS.,,0.22,0.19,6.02,5.02,-5.02
2-Control-FR,bs,0.86,750-1100 MS.,,0.45,-0.41,0.52,-0.48,0.48
2-Control-FR,bs,0.94,750-1100 MS.,,0.32,-0.62,0.34,-0.66,0.66
2-Control-FR,bs,0.29,0-350 MS.,,0.33,0.04,1.14,0.14,-0.14
2-Control-FR,bs,0.1,0-350 MS.,,0.31,0.21,3.18,2.18,-2.18
2-Control-FR,bs,0.86,750-1100 MS.,,0.4,-0.46,0.46,-0.54,0.54
2-Control-FR,bs,0.1,0-350 MS.,,0.28,0.18,2.87,1.87,-1.87
2-Control-FR,bs,0.13,0-350 MS.,,0.21,0.08,1.63,0.63,-0.63
2-Control-FR,bs,1.06,750-1100 MS.,,0.48,-0.58,0.45,-0.55,0.55
2-Control-FR,bs,0.2,0-350 MS.,,0.3,0.1,1.49,0.49,-0.49
2-Control-FR,bs,0.91,750-1100 MS.,,0.26,-0.65,0.29,-0.71,0.71
2-Control-FR,bs,0.46,350-750 MS.,,0.32,-0.14,0.69,-0.31,0.31
2-Control-FR,bs,0.64,350-750 MS.,,0.2,-0.44,0.31,-0.69,0.69
2-Control-FR,bs,0.95,750-1100 MS.,,0.45,-0.5,0.47,-0.53,0.53
2-Control-FR,bs,0.93,750-1100 MS.,,0.5,-0.43,0.54,-0.46,0.46
2-Control-FR,bs,0.08,0-350 MS.,,0.14,0.06,1.73,0.73,-0.73
2-Control-FR,bs,0.86,750-1100 MS.,,0.5,-0.36,0.59,-0.41,0.41
2-Control-FR,bs,0.9,750-1100 MS.,,0.25,-0.65,0.28,-0.72,0.72
2-Control-FR,bs,0.39,350-750 MS.,,0.34,-0.06,0.86,-0.14,0.14
2-Control-FR,bs,0.62,350-750 MS.,,0.32,-0.3,0.52,-0.48,0.48
2-Control-FR,bs,0.04,0-350 MS.,,0.2,0.16,5.42,4.42,-4.42
2-Control-FR,bs,0.31,0-350 MS.,,0.24,-0.07,0.78,-0.22,0.22
2-Control-FR,bt,0.04,0-350 MS.,,0.29,0.25,7.81,6.81,-6.81
2-Control-FR,bt,0.91,750-1100 MS.,,0.42,-0.49,0.47,-0.53,0.53
2-Control-FR,bt,0.52,350-750 MS.,,0.24,-0.28,0.46,-0.54,0.54
2-Control-FR,bt,0.62,350-750 MS.,,0.33,-0.29,0.53,-0.47,0.47
2-Control-FR,bt,0.66,350-750 MS.,,0.25,-0.41,0.38,-0.62,0.62
2-Control-FR,bt,1.08,750-1100 MS.,,0.82,-0.27,0.75,-0.25,0.25
2-Control-FR,bt,0.64,350-750 MS.,,0.35,-0.29,0.55,-0.45,0.45
2-Control-FR,bt,0.95,750-1100 MS.,,0.64,-0.31,0.68,-0.32,0.32
2-Control-FR,bt,0.58,350-750 MS.,,0.22,-0.36,0.38,-0.62,0.62
2-Control-FR,bt,0.8,750-1100 MS.,,0.47,-0.33,0.59,-0.41,0.41
2-Control-FR,bt,0.65,350-750 MS.,,0.34,-0.32,0.51,-0.49,0.49
2-Control-FR,bt,0.2,0-350 MS.,,0.25,0.04,1.22,0.22,-0.22
2-Control-FR,bt,0.04,0-350 MS.,,0.14,0.1,3.66,2.66,-2.66
2-Control-FR,bt,0.13,0-350 MS.,,0.15,0.03,1.21,0.21,-0.21
2-Control-FR,bt,0.1,0-350 MS.,,0.19,0.09,1.96,0.96,-0.96
2-Control-FR,bt,0.41,350-750 MS.,,0.24,-0.17,0.59,-0.41,0.41
2-Control-FR,bt,0.29,0-350 MS.,,0.17,-0.12,0.58,-0.42,0.42
2-Control-FR,bt,0.3,0-350 MS.,,0.16,-0.14,0.53,-0.47,0.47
2-Control-FR,bt,0.27,0-350 MS.,,0.09,-0.18,0.33,-0.67,0.67
2-Control-FR,bt,0.86,750-1100 MS.,,0.34,-0.53,0.39,-0.61,0.61
2-Control-FR,bt,0.5,350-750 MS.,,0.19,-0.3,0.39,-0.61,0.61
2-Control-FR,bt,1.02,750-1100 MS.,,0.33,-0.69,0.32,-0.68,0.68
2-Control-FR,bt,0.08,0-350 MS.,,0.16,0.08,2.03,1.03,-1.03
2-Control-FR,bt,0.14,0-350 MS.,,0.18,0.05,1.36,0.36,-0.36
2-Control-FR,bt,0.86,750-1100 MS.,,0.34,-0.52,0.4,-0.6,0.6
2-Control-FR,bt,0.96,750-1100 MS.,,0.18,-0.78,0.19,-0.81,0.81
2-Control-FR,bt,0.51,350-750 MS.,,0.19,-0.31,0.38,-0.62,0.62
2-Control-FR,bt,0.93,750-1100 MS.,,0.28,-0.65,0.3,-0.7,0.7
2-Control-FR,bt,1.04,750-1100 MS.,,0.46,-0.58,0.44,-0.56,0.56
2-Control-FR,bt,0.86,750-1100 MS.,,0.5,-0.36,0.58,-0.42,0.42
2-Control-FR,bt,0.3,0-350 MS.,,0.29,-0.01,0.97,-0.03,0.03
2-Control-FR,bt,0.2,0-350 MS.,,0.22,0.01,1.07,0.07,-0.07
2-Control-FR,bt,0.31,0-350 MS.,,0.28,-0.03,0.91,-0.09,0.09
2-Control-FR,bt,0.66,350-750 MS.,,0.46,-0.2,0.69,-0.31,0.31
2-Control-FR,bt,0.9,750-1100 MS.,,0.53,-0.37,0.59,-0.41,0.41
2-Control-FR,bt,0.39,350-750 MS.,,0.29,-0.1,0.74,-0.26,0.26
2-Control-FR,bt,0.46,350-750 MS.,,0.3,-0.16,0.66,-0.34,0.34
2-Control-FR,bt,0.33,0-350 MS.,,0.3,-0.03,0.91,-0.09,0.09
2-Control-FR,bt,0.95,750-1100 MS.,,0.56,-0.39,0.59,-0.41,0.41
2-Control-FR,bt,0.04,0-350 MS.,,0.15,0.11,3.85,2.85,-2.85
2-Control-FR,bt,0.1,0-350 MS.,,0.17,0.07,1.64,0.64,-0.64
2-Control-FR,bt,0.39,350-750 MS.,,0.32,-0.07,0.81,-0.19,0.19
2-Control-FR,bt,0.1,0-350 MS.,,0.22,0.12,2.21,1.21,-1.21
2-Control-FR,bt,1.09,750-1100 MS.,,0.7,-0.39,0.64,-0.36,0.36
2-Control-FR,bt,0.19,0-350 MS.,,0.19,0,1,0,0
2-Control-FR,bt,0.94,750-1100 MS.,,0.19,-0.74,0.2,-0.8,0.8
2-Control-FR,bt,1.01,750-1100 MS.,,0.26,-0.75,0.25,-0.75,0.75
2-Control-FR,bt,1.06,750-1100 MS.,,0.27,-0.79,0.26,-0.74,0.74
2-Control-FR,bt,0.13,0-350 MS.,,0.13,0,1,0,0
2-Control-FR,bt,0.09,0-350 MS.,,0.19,0.1,2.13,1.13,-1.13
2-Control-FR,dt,0.86,750-1100 MS.,,0.06,-0.81,0.06,-0.94,0.94
2-Control-FR,dt,0.04,0-350 MS.,,0.12,0.08,3.23,2.23,-2.23
2-Control-FR,dt,0.2,0-350 MS.,,0.11,-0.09,0.55,-0.45,0.45
2-Control-FR,dt,0.66,350-750 MS.,,0.22,-0.44,0.34,-0.66,0.66
2-Control-FR,dt,0.65,350-750 MS.,,0.34,-0.32,0.51,-0.49,0.49
2-Control-FR,dt,0.13,0-350 MS.,,0.08,-0.05,0.64,-0.36,0.36
2-Control-FR,dt,1.08,750-1100 MS.,,0.68,-0.4,0.63,-0.37,0.37
2-Control-FR,dt,0.5,350-750 MS.,,0.33,-0.17,0.66,-0.34,0.34
2-Control-FR,dt,0.96,750-1100 MS.,,1.02,0.06,1.07,0.07,-0.07
2-Control-FR,dt,0.31,0-350 MS.,,0.18,-0.13,0.57,-0.43,0.43
2-Control-FR,dt,0.95,750-1100 MS.,,0.74,-0.21,0.78,-0.22,0.22
2-Control-FR,dt,0.33,0-350 MS.,,0.25,-0.08,0.75,-0.25,0.25
2-Control-FR,dt,0.95,750-1100 MS.,,0.34,-0.6,0.36,-0.64,0.64
2-Control-FR,dt,0.41,350-750 MS.,,0.22,-0.19,0.53,-0.47,0.47
2-Control-FR,dt,0.29,0-350 MS.,,0.23,-0.06,0.81,-0.19,0.19
2-Control-FR,dt,0.86,750-1100 MS.,,0.76,-0.1,0.88,-0.12,0.12
2-Control-FR,dt,1.01,750-1100 MS.,,0.84,-0.17,0.84,-0.16,0.16
2-Control-FR,dt,0.04,0-350 MS.,,0.25,0.21,6.28,5.28,-5.28
2-Control-FR,dt,0.2,0-350 MS.,,0.16,-0.04,0.79,-0.21,0.21
2-Control-FR,dt,0.1,0-350 MS.,,0.22,0.12,2.21,1.21,-1.21
2-Control-FR,dt,1.09,750-1100 MS.,,1.19,0.1,1.09,0.09,-0.09
2-Control-FR,dt,0.19,0-350 MS.,,0.19,0,1,0,0
2-Control-FR,dt,0.39,350-750 MS.,,0.15,-0.24,0.39,-0.61,0.61
2-Control-FR,dt,0.52,350-750 MS.,,0.15,-0.37,0.29,-0.71,0.71
2-Control-FR,dt,0.94,750-1100 MS.,,0.81,-0.13,0.86,-0.14,0.14
2-Control-FR,dt,0.1,0-350 MS.,,0.22,0.12,2.2,1.2,-1.2
2-Control-FR,dt,0.13,0-350 MS.,,0.18,0.06,1.44,0.44,-0.44
2-Control-FR,dt,0.09,0-350 MS.,,0.22,0.13,2.49,1.49,-1.49
2-Control-FR,dt,0.64,350-750 MS.,,0.3,-0.34,0.48,-0.52,0.52
2-Control-FR,dt,0.9,750-1100 MS.,,0.7,-0.2,0.78,-0.22,0.22
2-Control-FR,dt,0.08,0-350 MS.,,0.34,0.27,4.37,3.37,-3.37
2-Control-FR,dt,0.8,750-1100 MS.,,0.78,-0.02,0.98,-0.02,0.02
2-Control-FR,dt,0.14,0-350 MS.,,0.09,-0.05,0.65,-0.35,0.35
2-Control-FR,dt,1.02,750-1100 MS.,,0.55,-0.46,0.54,-0.46,0.46
2-Control-FR,dt,0.39,350-750 MS.,,0.21,-0.18,0.53,-0.47,0.47
2-Control-FR,dt,0.1,0-350 MS.,,0.11,0.01,1.09,0.09,-0.09
2-Control-FR,dt,0.86,750-1100 MS.,,0.9,0.05,1.05,0.05,-0.05
2-Control-FR,dt,0.46,350-750 MS.,,0.32,-0.14,0.69,-0.31,0.31
2-Control-FR,dt,0.93,750-1100 MS.,,1.01,0.08,1.09,0.09,-0.09
2-Control-FR,dt,1.04,750-1100 MS.,,0.84,-0.2,0.81,-0.19,0.19
2-Control-FR,dt,0.91,750-1100 MS.,,0.71,-0.2,0.78,-0.22,0.22
2-Control-FR,dt,0.62,350-750 MS.,,0.63,0.01,1.02,0.02,-0.02
2-Control-FR,dt,0.58,350-750 MS.,,0.1,-0.48,0.18,-0.82,0.82
2-Control-FR,dt,0.51,350-750 MS.,,0.15,-0.35,0.3,-0.7,0.7
2-Control-FR,dt,1.06,750-1100 MS.,,0.89,-0.17,0.84,-0.16,0.16
2-Control-FR,dt,0.27,0-350 MS.,,0.16,-0.11,0.6,-0.4,0.4
2-Control-FR,dt,0.3,0-350 MS.,,0.18,-0.12,0.59,-0.41,0.41
2-Control-FR,dt,0.66,350-750 MS.,,0.3,-0.36,0.46,-0.54,0.54
2-Control-FR,dt,0.3,0-350 MS.,,0.17,-0.14,0.55,-0.45,0.45
2-Control-FR,dt,0.04,0-350 MS.,,0.1,0.07,2.82,1.82,-1.82
2-Control-FR,hc,0.86,750-1100 MS.,,0.48,-0.38,0.56,-0.44,0.44
2-Control-FR,hc,0.95,750-1100 MS.,,0.42,-0.53,0.44,-0.56,0.56
2-Control-FR,hc,0.14,0-350 MS.,,0.12,-0.02,0.89,-0.11,0.11
2-Control-FR,hc,0.94,750-1100 MS.,,0.39,-0.54,0.42,-0.58,0.58
2-Control-FR,hc,0.1,0-350 MS.,,0.15,0.05,1.55,0.55,-0.55
2-Control-FR,hc,0.91,750-1100 MS.,,0.46,-0.45,0.51,-0.49,0.49
2-Control-FR,hc,0.52,350-750 MS.,,0.29,-0.23,0.55,-0.45,0.45
2-Control-FR,hc,0.66,350-750 MS.,,0.24,-0.42,0.36,-0.64,0.64
2-Control-FR,hc,0.09,0-350 MS.,,0.3,0.21,3.38,2.38,-2.38
2-Control-FR,hc,0.13,0-350 MS.,,0.3,0.17,2.32,1.32,-1.32
2-Control-FR,hc,0.1,0-350 MS.,,0.2,0.1,2.05,1.05,-1.05
2-Control-FR,hc,0.66,350-750 MS.,,0.33,-0.33,0.5,-0.5,0.5
2-Control-FR,hc,0.86,750-1100 MS.,,0.31,-0.55,0.36,-0.64,0.64
2-Control-FR,hc,1.08,750-1100 MS.,,0.25,-0.84,0.23,-0.77,0.77
2-Control-FR,hc,0.04,0-350 MS.,,0.2,0.16,5.42,4.42,-4.42
2-Control-FR,hc,0.19,0-350 MS.,,0.23,0.04,1.21,0.21,-0.21
2-Control-FR,hc,1.01,750-1100 MS.,,0.36,-0.65,0.36,-0.64,0.64
2-Control-FR,hc,0.8,750-1100 MS.,,0.3,-0.5,0.38,-0.62,0.62
2-Control-FR,hc,0.13,0-350 MS.,,0.22,0.09,1.72,0.72,-0.72
2-Control-FR,hc,0.27,0-350 MS.,,0.22,-0.04,0.84,-0.16,0.16
2-Control-FR,hc,0.39,350-750 MS.,,0.26,-0.14,0.65,-0.35,0.35
2-Control-FR,hc,0.3,0-350 MS.,,0.17,-0.13,0.57,-0.43,0.43
2-Control-FR,hc,0.65,350-750 MS.,,0.3,-0.35,0.46,-0.54,0.54
2-Control-FR,hc,0.64,350-750 MS.,,0.27,-0.37,0.43,-0.57,0.57
2-Control-FR,hc,0.3,0-350 MS.,,0.26,-0.04,0.87,-0.13,0.13
2-Control-FR,hc,0.62,350-750 MS.,,0.19,-0.43,0.31,-0.69,0.69
2-Control-FR,hc,0.95,750-1100 MS.,,0.35,-0.6,0.37,-0.63,0.63
2-Control-FR,hc,0.1,0-350 MS.,,0.19,0.09,1.87,0.87,-0.87
2-Control-FR,hc,0.31,0-350 MS.,,0.21,-0.1,0.68,-0.32,0.32
2-Control-FR,hc,0.39,350-750 MS.,,0.22,-0.17,0.55,-0.45,0.45
2-Control-FR,hc,1.09,750-1100 MS.,,0.44,-0.65,0.4,-0.6,0.6
2-Control-FR,hc,0.08,0-350 MS.,,0.14,0.06,1.73,0.73,-0.73
2-Control-FR,hc,1.02,750-1100 MS.,,0.49,-0.53,0.48,-0.52,0.52
2-Control-FR,hc,0.46,350-750 MS.,,0.3,-0.16,0.66,-0.34,0.34
2-Control-FR,hc,0.9,750-1100 MS.,,0.27,-0.62,0.3,-0.7,0.7
2-Control-FR,hc,0.58,350-750 MS.,,0.18,-0.41,0.3,-0.7,0.7
2-Control-FR,hc,1.04,750-1100 MS.,,0.18,-0.85,0.18,-0.82,0.82
2-Control-FR,hc,0.04,0-350 MS.,,0.19,0.15,4.86,3.86,-3.86
2-Control-FR,hc,1.06,750-1100 MS.,,0.52,-0.54,0.49,-0.51,0.51
2-Control-FR,hc,0.29,0-350 MS.,,0.16,-0.13,0.56,-0.44,0.44
2-Control-FR,hc,0.2,0-350 MS.,,0.17,-0.03,0.83,-0.17,0.17
2-Control-FR,hc,0.2,0-350 MS.,,0.16,-0.04,0.79,-0.21,0.21
2-Control-FR,hc,0.93,750-1100 MS.,,0.44,-0.49,0.48,-0.52,0.52
2-Control-FR,hc,0.33,0-350 MS.,,0.4,0.07,1.2,0.2,-0.2
2-Control-FR,hc,0.04,0-350 MS.,,0.14,0.1,3.66,2.66,-2.66
2-Control-FR,hc,0.5,350-750 MS.,,0.4,-0.1,0.81,-0.19,0.19
2-Control-FR,hc,0.41,350-750 MS.,,0.17,-0.24,0.41,-0.59,0.59
2-Control-FR,hc,0.86,750-1100 MS.,,0.32,-0.54,0.37,-0.63,0.63
2-Control-FR,hc,0.51,350-750 MS.,,0.27,-0.23,0.54,-0.46,0.46
2-Control-FR,hc,0.96,750-1100 MS.,,0.33,-0.63,0.34,-0.66,0.66
2-Control-FR,ho,1.09,750-1100 MS.,,0.59,-0.5,0.54,-0.46,0.46
2-Control-FR,ho,0.2,0-350 MS.,,0.11,-0.09,0.55,-0.45,0.45
2-Control-FR,ho,0.19,0-350 MS.,,0.34,0.14,1.75,0.75,-0.75
2-Control-FR,ho,1.08,750-1100 MS.,,0.64,-0.44,0.59,-0.41,0.41
2-Control-FR,ho,0.39,350-750 MS.,,0.14,-0.25,0.37,-0.63,0.63
2-Control-FR,ho,0.94,750-1100 MS.,,0.46,-0.47,0.5,-0.5,0.5
2-Control-FR,ho,0.41,350-750 MS.,,0.17,-0.24,0.41,-0.59,0.59
2-Control-FR,ho,0.46,350-750 MS.,,0.32,-0.14,0.69,-0.31,0.31
2-Control-FR,ho,0.86,750-1100 MS.,,0.33,-0.53,0.38,-0.62,0.62
2-Control-FR,ho,0.91,750-1100 MS.,,0.41,-0.5,0.45,-0.55,0.55
2-Control-FR,ho,0.96,750-1100 MS.,,0.34,-0.62,0.35,-0.65,0.65
2-Control-FR,ho,0.5,350-750 MS.,,0.5,0,1,0,0
2-Control-FR,ho,0.09,0-350 MS.,,0.14,0.05,1.51,0.51,-0.51
2-Control-FR,ho,0.52,350-750 MS.,,0.36,-0.16,0.69,-0.31,0.31
2-Control-FR,ho,0.9,750-1100 MS.,,0.45,-0.45,0.5,-0.5,0.5
2-Control-FR,ho,0.66,350-750 MS.,,0.23,-0.43,0.35,-0.65,0.65
2-Control-FR,ho,0.1,0-350 MS.,,0.11,0.01,1.14,0.14,-0.14
2-Control-FR,ho,0.2,0-350 MS.,,0.31,0.11,1.54,0.54,-0.54
2-Control-FR,ho,0.95,750-1100 MS.,,0.46,-0.48,0.49,-0.51,0.51
2-Control-FR,ho,0.31,0-350 MS.,,0.3,-0.01,0.96,-0.04,0.04
2-Control-FR,ho,0.86,750-1100 MS.,,0.34,-0.52,0.4,-0.6,0.6
2-Control-FR,ho,0.3,0-350 MS.,,0.28,-0.02,0.94,-0.06,0.06
2-Control-FR,ho,0.1,0-350 MS.,,0.06,-0.05,0.55,-0.45,0.45
2-Control-FR,ho,0.86,750-1100 MS.,,0.46,-0.39,0.54,-0.46,0.46
2-Control-FR,ho,0.51,350-750 MS.,,0.38,-0.13,0.74,-0.26,0.26
2-Control-FR,ho,0.3,0-350 MS.,,0.23,-0.07,0.76,-0.24,0.24
2-Control-FR,ho,1.06,750-1100 MS.,,0.65,-0.41,0.61,-0.39,0.39
2-Control-FR,ho,0.1,0-350 MS.,,0.14,0.05,1.47,0.47,-0.47
2-Control-FR,ho,0.14,0-350 MS.,,0.13,-0.01,0.95,-0.05,0.05
2-Control-FR,ho,1.01,750-1100 MS.,,0.61,-0.4,0.6,-0.4,0.4
2-Control-FR,ho,0.04,0-350 MS.,,0.06,0.02,1.62,0.62,-0.62
2-Control-FR,ho,0.8,750-1100 MS.,,0.58,-0.22,0.72,-0.28,0.28
2-Control-FR,ho,0.13,0-350 MS.,,0.08,-0.05,0.64,-0.36,0.36
2-Control-FR,ho,0.66,350-750 MS.,,0.07,-0.59,0.11,-0.89,0.89
2-Control-FR,ho,0.27,0-350 MS.,,0.18,-0.08,0.69,-0.31,0.31
2-Control-FR,ho,0.33,0-350 MS.,,0.22,-0.11,0.67,-0.33,0.33
2-Control-FR,ho,0.39,350-750 MS.,,0.32,-0.07,0.82,-0.18,0.18
2-Control-FR,ho,0.64,350-750 MS.,,0.23,-0.41,0.36,-0.64,0.64
2-Control-FR,ho,0.29,0-350 MS.,,0.36,0.07,1.25,0.25,-0.25
2-Control-FR,ho,0.04,0-350 MS.,,0.07,0.03,1.94,0.94,-0.94
2-Control-FR,ho,0.58,350-750 MS.,,0.46,-0.13,0.78,-0.22,0.22
2-Control-FR,ho,1.04,750-1100 MS.,,0.62,-0.42,0.59,-0.41,0.41
2-Control-FR,ho,0.62,350-750 MS.,,0.5,-0.12,0.81,-0.19,0.19
2-Control-FR,ho,0.65,350-750 MS.,,0.44,-0.21,0.67,-0.33,0.33
2-Control-FR,ho,0.13,0-350 MS.,,0.13,0,1,0,0
2-Control-FR,ho,1.02,750-1100 MS.,,0.64,-0.38,0.63,-0.37,0.37
2-Control-FR,ho,0.08,0-350 MS.,,0.14,0.07,1.83,0.83,-0.83
2-Control-FR,ho,0.93,750-1100 MS.,,0.7,-0.22,0.76,-0.24,0.24
2-Control-FR,ho,0.04,0-350 MS.,,0.09,0.05,2.38,1.38,-1.38
2-Control-FR,ho,0.95,750-1100 MS.,,0.67,-0.28,0.71,-0.29,0.29
2-Control-FR,ia,0.08,0-350 MS.,,0.27,0.19,3.45,2.45,-2.45
2-Control-FR,ia,0.9,750-1100 MS.,,0.3,-0.59,0.34,-0.66,0.66
2-Control-FR,ia,0.86,750-1100 MS.,,0.45,-0.41,0.52,-0.48,0.48
2-Control-FR,ia,0.3,0-350 MS.,,0.48,0.18,1.62,0.62,-0.62
2-Control-FR,ia,1.08,750-1100 MS.,,0.68,-0.4,0.63,-0.37,0.37
2-Control-FR,ia,1.01,750-1100 MS.,,0.42,-0.58,0.42,-0.58,0.58
2-Control-FR,ia,0.13,0-350 MS.,,0.19,0.06,1.51,0.51,-0.51
2-Control-FR,ia,0.95,750-1100 MS.,,0.5,-0.45,0.53,-0.47,0.47
2-Control-FR,ia,0.5,350-750 MS.,,0.54,0.05,1.1,0.1,-0.1
2-Control-FR,ia,0.31,0-350 MS.,,0.35,0.04,1.14,0.14,-0.14
2-Control-FR,ia,0.19,0-350 MS.,,0.19,0,1,0,0
2-Control-FR,ia,0.1,0-350 MS.,,0.16,0.06,1.56,0.56,-0.56
2-Control-FR,ia,0.13,0-350 MS.,,0.17,0.04,1.34,0.34,-0.34
2-Control-FR,ia,0.39,350-750 MS.,,0.27,-0.12,0.69,-0.31,0.31
