condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
0-Control-RR,hc,0.04,0-350 MS.,,0.14,0.1,3.65,2.65,-2.65
0-Control-RR,hc,1.06,750-1100 MS.,,0.23,-0.83,0.22,-0.78,0.78
0-Control-RR,hc,0.1,0-350 MS.,,0.13,0.03,1.31,0.31,-0.31
0-Control-RR,hc,1.02,750-1100 MS.,,0.32,-0.7,0.31,-0.69,0.69
0-Control-RR,ho,0.51,350-750 MS.,,0.32,-0.19,0.63,-0.37,0.37
0-Control-RR,ho,0.3,0-350 MS.,,0.38,0.09,1.29,0.29,-0.29
0-Control-RR,ho,0.1,0-350 MS.,,0.38,0.27,3.67,2.67,-2.67
0-Control-RR,ho,0.09,0-350 MS.,,0.34,0.25,3.74,2.74,-2.74
0-Control-RR,ho,0.95,750-1100 MS.,,0.46,-0.49,0.49,-0.51,0.51
0-Control-RR,ho,0.19,0-350 MS.,,0.42,0.22,2.17,1.17,-1.17
0-Control-RR,ho,0.27,0-350 MS.,,0.47,0.21,1.77,0.77,-0.77
0-Control-RR,ho,0.95,750-1100 MS.,,0.55,-0.4,0.58,-0.42,0.42
0-Control-RR,ho,0.65,350-750 MS.,,0.51,-0.14,0.78,-0.22,0.22
0-Control-RR,ho,0.9,750-1100 MS.,,0.57,-0.33,0.63,-0.37,0.37
0-Control-RR,ho,0.1,0-350 MS.,,0.54,0.45,5.57,4.57,-4.57
0-Control-RR,ho,0.94,750-1100 MS.,,0.57,-0.37,0.61,-0.39,0.39
0-Control-RR,ho,0.31,0-350 MS.,,0.66,0.35,2.13,1.13,-1.13
0-Control-RR,ho,0.8,750-1100 MS.,,0.5,-0.3,0.63,-0.37,0.37
0-Control-RR,ho,0.91,750-1100 MS.,,0.5,-0.41,0.55,-0.45,0.45
0-Control-RR,ho,0.46,350-750 MS.,,0.41,-0.05,0.89,-0.11,0.11
0-Control-RR,ho,0.52,350-750 MS.,,0.47,-0.05,0.9,-0.1,0.1
0-Control-RR,ho,0.3,0-350 MS.,,0.46,0.16,1.53,0.53,-0.53
0-Control-RR,ho,0.04,0-350 MS.,,0.43,0.4,11.71,10.71,-10.71
0-Control-RR,ho,0.1,0-350 MS.,,0.47,0.37,4.81,3.81,-3.81
0-Control-RR,ho,0.5,350-750 MS.,,0.58,0.08,1.16,0.16,-0.16
0-Control-RR,ho,0.2,0-350 MS.,,0.45,0.24,2.2,1.2,-1.2
0-Control-RR,ho,0.2,0-350 MS.,,0.42,0.21,2.05,1.05,-1.05
0-Control-RR,ho,0.13,0-350 MS.,,0.37,0.24,2.89,1.89,-1.89
0-Control-RR,ho,1.02,750-1100 MS.,,0.42,-0.59,0.42,-0.58,0.58
0-Control-RR,ho,0.86,750-1100 MS.,,0.55,-0.31,0.64,-0.36,0.36
0-Control-RR,ho,0.64,350-750 MS.,,0.49,-0.15,0.76,-0.24,0.24
0-Control-RR,ho,0.58,350-750 MS.,,0.5,-0.08,0.86,-0.14,0.14
0-Control-RR,ho,0.66,350-750 MS.,,0.44,-0.22,0.67,-0.33,0.33
0-Control-RR,ho,1.04,750-1100 MS.,,0.55,-0.49,0.53,-0.47,0.47
0-Control-RR,ho,1.09,750-1100 MS.,,0.46,-0.63,0.42,-0.58,0.58
0-Control-RR,ho,0.39,350-750 MS.,,0.46,0.07,1.18,0.18,-0.18
0-Control-RR,ho,0.04,0-350 MS.,,0.45,0.41,12.04,11.04,-11.04
0-Control-RR,ho,0.08,0-350 MS.,,0.46,0.39,5.89,4.89,-4.89
0-Control-RR,ho,0.66,350-750 MS.,,0.46,-0.2,0.69,-0.31,0.31
0-Control-RR,ho,0.86,750-1100 MS.,,0.39,-0.47,0.45,-0.55,0.55
0-Control-RR,ho,0.04,0-350 MS.,,0.47,0.43,11.95,10.95,-10.95
0-Control-RR,ho,0.14,0-350 MS.,,0.37,0.23,2.72,1.72,-1.72
0-Control-RR,ho,1.01,750-1100 MS.,,0.42,-0.59,0.41,-0.59,0.59
0-Control-RR,ho,0.93,750-1100 MS.,,0.43,-0.49,0.47,-0.53,0.53
0-Control-RR,ho,0.13,0-350 MS.,,0.45,0.32,3.57,2.57,-2.57
0-Control-RR,ho,0.96,750-1100 MS.,,0.48,-0.48,0.5,-0.5,0.5
0-Control-RR,ho,1.08,750-1100 MS.,,0.48,-0.6,0.44,-0.56,0.56
0-Control-RR,ho,0.86,750-1100 MS.,,0.53,-0.33,0.61,-0.39,0.39
0-Control-RR,ho,1.06,750-1100 MS.,,0.49,-0.57,0.46,-0.54,0.54
0-Control-RR,ho,0.33,0-350 MS.,,0.46,0.12,1.37,0.37,-0.37
0-Control-RR,ho,0.29,0-350 MS.,,0.52,0.23,1.8,0.8,-0.8
0-Control-RR,ho,0.62,350-750 MS.,,0.53,-0.09,0.85,-0.15,0.15
0-Control-RR,ho,0.41,350-750 MS.,,0.54,0.13,1.31,0.31,-0.31
0-Control-RR,ho,0.39,350-750 MS.,,0.54,0.15,1.4,0.4,-0.4
0-Control-RR,ia,0.14,0-350 MS.,,0.14,0.01,1.06,0.06,-0.06
0-Control-RR,ia,0.46,350-750 MS.,,0.28,-0.18,0.61,-0.39,0.39
0-Control-RR,ia,0.94,750-1100 MS.,,0.36,-0.58,0.38,-0.62,0.62
0-Control-RR,ia,0.04,0-350 MS.,,0.12,0.08,3.23,2.23,-2.23
0-Control-RR,ia,0.33,0-350 MS.,,0.1,-0.23,0.31,-0.69,0.69
0-Control-RR,ia,0.08,0-350 MS.,,0.1,0.02,1.22,0.22,-0.22
0-Control-RR,ia,0.39,350-750 MS.,,0.42,0.03,1.09,0.09,-0.09
0-Control-RR,ia,0.5,350-750 MS.,,0.21,-0.29,0.42,-0.58,0.58
0-Control-RR,ia,0.86,750-1100 MS.,,0.18,-0.69,0.2,-0.8,0.8
0-Control-RR,ia,0.3,0-350 MS.,,0.25,-0.05,0.84,-0.16,0.16
0-Control-RR,ia,1.06,750-1100 MS.,,0.46,-0.6,0.43,-0.57,0.57
0-Control-RR,ia,0.13,0-350 MS.,,0.17,0.04,1.34,0.34,-0.34
0-Control-RR,ia,0.19,0-350 MS.,,0.11,-0.08,0.58,-0.42,0.42
0-Control-RR,ia,0.95,750-1100 MS.,,0.39,-0.56,0.41,-0.59,0.59
0-Control-RR,ia,0.04,0-350 MS.,,0.2,0.16,5.42,4.42,-4.42
0-Control-RR,ia,0.27,0-350 MS.,,0.25,-0.02,0.93,-0.07,0.07
0-Control-RR,ia,1.08,750-1100 MS.,,0.75,-0.33,0.69,-0.31,0.31
0-Control-RR,ia,0.41,350-750 MS.,,0.14,-0.27,0.33,-0.67,0.67
0-Control-RR,ia,0.65,350-750 MS.,,0.64,-0.01,0.98,-0.02,0.02
0-Control-RR,ia,0.2,0-350 MS.,,0.22,0.02,1.1,0.1,-0.1
0-Control-RR,ia,0.52,350-750 MS.,,0.32,-0.2,0.61,-0.39,0.39
0-Control-RR,ia,0.2,0-350 MS.,,0.22,0.01,1.07,0.07,-0.07
0-Control-RR,ia,0.04,0-350 MS.,,0.14,0.1,3.65,2.65,-2.65
0-Control-RR,ia,0.1,0-350 MS.,,0.25,0.15,2.53,1.53,-1.53
0-Control-RR,ia,0.39,350-750 MS.,,0.36,-0.03,0.92,-0.08,0.08
0-Control-RR,ia,0.3,0-350 MS.,,0.22,-0.08,0.74,-0.26,0.26
0-Control-RR,ia,0.93,750-1100 MS.,,0.43,-0.49,0.47,-0.53,0.53
0-Control-RR,ia,1.04,750-1100 MS.,,0.7,-0.33,0.68,-0.32,0.32
0-Control-RR,ia,0.95,750-1100 MS.,,0.48,-0.47,0.51,-0.49,0.49
0-Control-RR,ia,1.02,750-1100 MS.,,0.6,-0.42,0.59,-0.41,0.41
0-Control-RR,ia,0.8,750-1100 MS.,,0.42,-0.38,0.53,-0.47,0.47
0-Control-RR,ia,0.1,0-350 MS.,,0.14,0.04,1.39,0.39,-0.39
0-Control-RR,ia,0.1,0-350 MS.,,0.18,0.07,1.72,0.72,-0.72
0-Control-RR,ia,0.13,0-350 MS.,,0.18,0.05,1.38,0.38,-0.38
0-Control-RR,ia,0.09,0-350 MS.,,0.14,0.05,1.6,0.6,-0.6
0-Control-RR,ia,0.64,350-750 MS.,,0.39,-0.25,0.61,-0.39,0.39
0-Control-RR,ia,0.86,750-1100 MS.,,0.42,-0.44,0.48,-0.52,0.52
0-Control-RR,ia,0.66,350-750 MS.,,0.71,0.05,1.08,0.08,-0.08
0-Control-RR,ia,0.29,0-350 MS.,,0.16,-0.13,0.56,-0.44,0.44
0-Control-RR,ia,0.96,750-1100 MS.,,0.41,-0.55,0.43,-0.57,0.57
0-Control-RR,ia,1.01,750-1100 MS.,,0.49,-0.52,0.49,-0.51,0.51
0-Control-RR,ia,0.31,0-350 MS.,,0.39,0.08,1.27,0.27,-0.27
