condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage),LOG_RT
2-Control-FR,AG,0.71,450-750 MS.,,0.38,0.33,-0.33,0.53,-0.47,0.47,-1.11
2-Control-FR,AG,0.46,450-750 MS.,,0.41,0.48,-0.05,0.9,-0.1,0.1,-0.74
2-Control-FR,AG,1.11,750-1150 MS.,,0.62,0.34,-0.49,0.56,-0.44,0.44,-1.07
2-Control-FR,AG,0.46,450-750 MS.,,0.42,0.40,-0.04,0.91,-0.09,0.09,-0.91
2-Control-FR,AG,0.75,750-1150 MS.,,0.52,0.20,-0.23,0.69,-0.31,0.31,-1.63
2-Control-FR,AG,0.82,750-1150 MS.,,0.66,0.36,-0.15,0.81,-0.19,0.19,-1.02
2-Control-FR,AG,1.05,750-1150 MS.,,0.35,0.29,-0.7,0.34,-0.66,0.66,-1.25
2-Control-FR,AG,0.71,450-750 MS.,,0.46,0.18,-0.25,0.64,-0.36,0.36,-1.73
2-Control-FR,AG,0.73,450-750 MS.,,0.46,0.35,-0.27,0.63,-0.37,0.37,-1.06
2-Control-FR,AG,0.66,450-750 MS.,,0.46,0.40,-0.2,0.7,-0.3,0.3,-0.92
2-Control-FR,AG,0.37,150-450 MS.,,0.44,0.38,0.07,1.17,0.17,-0.17,-0.96
2-Control-FR,AG,0.18,150-450 MS.,,0.42,0.35,0.24,2.35,1.35,-1.35,-1.04
2-Control-FR,AG,0.51,450-750 MS.,,0.44,0.35,-0.07,0.86,-0.14,0.14,-1.06
2-Control-FR,AG,0.92,750-1150 MS.,,0.53,0.36,-0.39,0.58,-0.42,0.42,-1.03
2-Control-FR,AG,0.18,150-450 MS.,,0.40,0.53,0.22,2.27,1.27,-1.27,-0.63
2-Control-FR,AG,0.8,750-1150 MS.,,0.48,0.40,-0.32,0.6,-0.4,0.4,-0.91
2-Control-FR,AG,0.8,750-1150 MS.,,0.51,0.30,-0.29,0.64,-0.36,0.36,-1.21
2-Control-FR,AG,0.32,150-450 MS.,,0.55,0.48,0.23,1.73,0.73,-0.73,-0.73
2-Control-FR,AG,1.11,750-1150 MS.,,0.55,0.23,-0.55,0.5,-0.5,0.5,-1.46
2-Control-FR,AG,1.06,750-1150 MS.,,0.52,0.30,-0.54,0.49,-0.51,0.51,-1.22
2-Control-FR,AG,0.35,150-450 MS.,,0.35,0.35,0,0.99,-0.01,0.01,-1.04
2-Control-FR,AG,0.62,450-750 MS.,,0.44,0.49,-0.18,0.71,-0.29,0.29,-0.72
2-Control-FR,AG,1.06,750-1150 MS.,,0.68,0.34,-0.38,0.64,-0.36,0.36,-1.07
2-Control-FR,AG,0.87,750-1150 MS.,,0.61,0.36,-0.26,0.7,-0.3,0.3,-1.01
2-Control-FR,AG,0.53,450-750 MS.,,0.37,0.23,-0.16,0.7,-0.3,0.3,-1.46
2-Control-FR,AG,0.48,450-750 MS.,,0.42,0.37,-0.06,0.87,-0.13,0.13,-0.99
2-Control-FR,AG,0.98,750-1150 MS.,,0.44,0.37,-0.54,0.45,-0.55,0.55,-1
2-Control-FR,AG,0.89,750-1150 MS.,,0.49,0.40,-0.41,0.55,-0.45,0.45,-0.91
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.44,0.60,-0.21,0.68,-0.32,0.32,-0.51
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.44,0.68,-0.21,0.68,-0.32,0.32,-0.38
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.51,0.71,-0.14,0.79,-0.21,0.21,-0.35
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.54,0.41,-0.11,0.82,-0.18,0.18,-0.9
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.62,0.56,-0.03,0.95,-0.05,0.05,-0.58
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.51,0.52,-0.14,0.79,-0.21,0.21,-0.65
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.53,0.49,-0.12,0.81,-0.19,0.19,-0.72
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.56,0.43,-0.09,0.86,-0.14,0.14,-0.85
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.50,0.42,-0.15,0.78,-0.22,0.22,-0.88
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.50,0.53,-0.15,0.78,-0.22,0.22,-0.64
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.57,0.48,-0.08,0.87,-0.13,0.13,-0.74
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.57,0.50,-0.08,0.87,-0.13,0.13,-0.69
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.55,0.38,-0.1,0.85,-0.15,0.15,-0.96
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.53,0.46,-0.12,0.81,-0.19,0.19,-0.77
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.55,0.47,-0.1,0.85,-0.15,0.15,-0.76
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.54,0.54,-0.11,0.84,-0.16,0.16,-0.62
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.54,0.39,-0.11,0.84,-0.16,0.16,-0.95
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.51,0.51,-0.14,0.79,-0.21,0.21,-0.68
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.54,0.56,-0.11,0.84,-0.16,0.16,-0.58
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.46,0.65,-0.19,0.7,-0.3,0.3,-0.44
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.54,0.60,-0.11,0.82,-0.18,0.18,-0.51
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.54,0.53,-0.11,0.84,-0.16,0.16,-0.64
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.52,0.50,-0.13,0.8,-0.2,0.2,-0.7
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.50,0.48,-0.15,0.78,-0.22,0.22,-0.73
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.55,0.56,-0.1,0.85,-0.15,0.15,-0.58
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.56,0.43,-0.09,0.86,-0.14,0.14,-0.84
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.48,0.56,-0.17,0.74,-0.26,0.26,-0.58
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.70,0.44,0.05,1.08,0.08,-0.08,-0.82
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.55,0.45,-0.1,0.85,-0.15,0.15,-0.8
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.54,0.52,-0.11,0.84,-0.16,0.16,-0.66
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.59,0.45,-0.06,0.91,-0.09,0.09,-0.81
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.48,0.51,-0.17,0.74,-0.26,0.26,-0.68
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.53,0.64,-0.12,0.81,-0.19,0.19,-0.45
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.63,0.50,-0.02,0.97,-0.03,0.03,-0.69
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.52,0.43,-0.13,0.8,-0.2,0.2,-0.85
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.58,0.46,-0.07,0.9,-0.1,0.1,-0.78
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.66,0.72,0.01,1.01,0.01,-0.01,-0.33
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.58,0.57,-0.07,0.89,-0.11,0.11,-0.56
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.54,0.53,-0.11,0.82,-0.18,0.18,-0.63
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.46,0.43,-0.19,0.71,-0.29,0.29,-0.85
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.52,0.24,-0.13,0.8,-0.2,0.2,-1.44
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.55,0.44,-0.1,0.85,-0.15,0.15,-0.83
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.52,0.55,-0.13,0.8,-0.2,0.2,-0.61
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.52,0.43,-0.13,0.8,-0.2,0.2,-0.85
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.44,0.52,-0.21,0.68,-0.32,0.32,-0.65
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.57,0.46,-0.08,0.87,-0.13,0.13,-0.78
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.56,0.56,-0.09,0.86,-0.14,0.14,-0.57
3-Prediction-FF,AG,0.65,650 MS.,TRUE,0.54,0.51,-0.11,0.84,-0.16,0.16,-0.68
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.63,0.54,-0.02,0.97,-0.03,0.03,-0.63
3-Prediction-FF,AG,0.65,650 MS.,FALSE,0.57,0.47,-0.08,0.87,-0.13,0.13,-0.76
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.34,0.45,-0.31,0.52,-0.48,0.48,-0.81
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.46,0.58,-0.19,0.71,-0.29,0.29,-0.54
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.46,0.55,-0.19,0.71,-0.29,0.29,-0.6
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.39,0.68,-0.26,0.6,-0.4,0.4,-0.39
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.45,0.46,-0.2,0.69,-0.31,0.31,-0.77
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.51,0.37,-0.14,0.79,-0.21,0.21,-1
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.49,0.45,-0.16,0.75,-0.25,0.25,-0.81
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.47,0.45,-0.18,0.73,-0.27,0.27,-0.79
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.32,0.59,-0.33,0.49,-0.51,0.51,-0.53
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.42,0.47,-0.23,0.65,-0.35,0.35,-0.76
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.50,0.54,-0.15,0.76,-0.24,0.24,-0.63
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.52,0.45,-0.13,0.8,-0.2,0.2,-0.81
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.44,0.49,-0.21,0.68,-0.32,0.32,-0.72
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.47,0.36,-0.18,0.73,-0.27,0.27,-1.03
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.54,0.44,-0.11,0.82,-0.18,0.18,-0.83
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.46,0.41,-0.19,0.7,-0.3,0.3,-0.88
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.56,0.77,-0.09,0.86,-0.14,0.14,-0.26
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.46,0.68,-0.19,0.71,-0.29,0.29,-0.39
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.50,0.68,-0.15,0.78,-0.22,0.22,-0.38
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.50,0.95,-0.15,0.78,-0.22,0.22,-0.05
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.54,0.48,-0.11,0.84,-0.16,0.16,-0.74
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.47,0.47,-0.18,0.73,-0.27,0.27,-0.75
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.48,0.52,-0.17,0.74,-0.26,0.26,-0.66
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.46,0.37,-0.19,0.71,-0.29,0.29,-0.99
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.43,0.44,-0.22,0.66,-0.34,0.34,-0.81
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.47,0.50,-0.18,0.73,-0.27,0.27,-0.69
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.46,0.52,-0.19,0.7,-0.3,0.3,-0.65
4-Motor-RF,AG,0.65,650 MS.,TRUE,0.47,0.65,-0.18,0.73,-0.27,0.27,-0.43
4-Motor-RF,AG,0.65,650 MS.,FALSE,0.48,0.54,-0.17,0.74,-0.26,0.26,-0.61
