condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage),LOG_RT
3-Prediction-FF,BK,0.65,650 MS.,FALSE,0.91,0.12,0.26,1.4,0.4,-0.4,-2.09
3-Prediction-FF,BK,0.65,650 MS.,FALSE,0.86,0.20,0.21,1.32,0.32,-0.32,-1.61
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.97,0.23,0.32,1.49,0.49,-0.49,-1.45
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.88,0.15,0.23,1.35,0.35,-0.35,-1.89
3-Prediction-FF,BK,0.65,650 MS.,FALSE,0.87,0.19,0.22,1.34,0.34,-0.34,-1.64
3-Prediction-FF,BK,0.65,650 MS.,TRUE,1.00,0.34,0.35,1.54,0.54,-0.54,-1.08
3-Prediction-FF,BK,0.65,650 MS.,TRUE,1.06,0.19,0.41,1.64,0.64,-0.64,-1.64
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.83,0.12,0.18,1.28,0.28,-0.28,-2.15
3-Prediction-FF,BK,0.65,650 MS.,FALSE,1.04,0.16,0.39,1.6,0.6,-0.6,-1.82
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.86,0.25,0.21,1.32,0.32,-0.32,-1.41
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.73,0.18,0.08,1.12,0.12,-0.12,-1.71
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,0.85,0.10,0.2,1.3,0.3,-0.3,-2.3
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.74,0.14,0.09,1.13,0.13,-0.13,-1.94
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,FALSE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.78,0.11,0.13,1.19,0.19,-0.19,-2.21
3-Prediction-FF,BK,0.65,650 MS.,TRUE,,,,,,,
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.68,0.24,0.03,1.05,0.05,-0.05,-1.44
3-Prediction-FF,BK,0.65,650 MS.,TRUE,0.74,0.11,0.09,1.14,0.14,-0.14,-2.22
3-Prediction-FF,BK,0.65,650 MS.,FALSE,0.68,0.33,0.03,1.05,0.05,-0.05,-1.09
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.48,0.39,-0.17,0.74,-0.26,0.26,-0.94
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.88,0.37,0.23,1.35,0.35,-0.35,-0.99
4-Motor-RF,BK,0.65,650 MS.,TRUE,,,,,,,
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.53,0.27,-0.12,0.81,-0.19,0.19,-1.3
4-Motor-RF,BK,0.65,650 MS.,FALSE,,,,,,,
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.69,0.27,0.04,1.06,0.06,-0.06,-1.3
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.62,0.37,-0.03,0.96,-0.04,0.04,-0.99
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.57,0.34,-0.08,0.87,-0.13,0.13,-1.09
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.60,0.39,-0.05,0.92,-0.08,0.08,-0.95
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.45,0.58,-0.2,0.69,-0.31,0.31,-0.54
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.34,0.33,-0.31,0.53,-0.47,0.47,-1.1
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.53,0.39,-0.12,0.81,-0.19,0.19,-0.94
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.62,0.28,-0.03,0.96,-0.04,0.04,-1.29
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.62,0.22,-0.03,0.96,-0.04,0.04,-1.53
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.58,0.44,-0.07,0.89,-0.11,0.11,-0.82
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.62,0.28,-0.03,0.95,-0.05,0.05,-1.27
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.59,0.45,-0.06,0.91,-0.09,0.09,-0.81
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.37,0.46,-0.28,0.57,-0.43,0.43,-0.77
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.63,0.29,-0.02,0.97,-0.03,0.03,-1.25
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.36,0.28,-0.29,0.55,-0.45,0.45,-1.29
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.40,0.23,-0.25,0.62,-0.38,0.38,-1.46
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.50,0.18,-0.15,0.76,-0.24,0.24,-1.73
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.52,0.29,-0.13,0.8,-0.2,0.2,-1.23
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.50,0.25,-0.15,0.76,-0.24,0.24,-1.4
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.42,0.21,-0.23,0.65,-0.35,0.35,-1.55
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.43,0.21,-0.22,0.66,-0.34,0.34,-1.55
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.39,0.25,-0.26,0.6,-0.4,0.4,-1.4
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.55,0.24,-0.1,0.85,-0.15,0.15,-1.44
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.50,0.22,-0.15,0.76,-0.24,0.24,-1.53
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.54,0.19,-0.11,0.82,-0.18,0.18,-1.67
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.53,0.35,-0.12,0.81,-0.19,0.19,-1.05
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.53,0.22,-0.12,0.81,-0.19,0.19,-1.5
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.41,0.34,-0.24,0.63,-0.37,0.37,-1.09
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.56,0.28,-0.09,0.86,-0.14,0.14,-1.29
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.61,0.27,-0.04,0.94,-0.06,0.06,-1.29
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.47,0.58,-0.18,0.73,-0.27,0.27,-0.54
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.37,0.20,-0.28,0.57,-0.43,0.43,-1.62
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.34,0.16,-0.31,0.52,-0.48,0.48,-1.8
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.38,0.27,-0.27,0.59,-0.41,0.41,-1.3
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.46,0.13,-0.19,0.71,-0.29,0.29,-2.04
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.44,0.10,-0.21,0.68,-0.32,0.32,-2.29
4-Motor-RF,BK,0.65,650 MS.,FALSE,,,,,,,
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.50,0.20,-0.15,0.76,-0.24,0.24,-1.61
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.45,0.21,-0.2,0.69,-0.31,0.31,-1.54
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.54,0.27,-0.11,0.82,-0.18,0.18,-1.31
4-Motor-RF,BK,0.65,650 MS.,FALSE,,,,,,,
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.54,0.71,-0.11,0.82,-0.18,0.18,-0.35
4-Motor-RF,BK,0.65,650 MS.,FALSE,0.63,0.30,-0.02,0.97,-0.03,0.03,-1.21
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.44,0.62,-0.21,0.68,-0.32,0.32,-0.48
4-Motor-RF,BK,0.65,650 MS.,TRUE,0.50,0.34,-0.15,0.76,-0.24,0.24,-1.07
5-Control-RF,BK,0.65,650 MS.,,0.46,0.35,-0.19,0.7,-0.3,0.3,-1.05
5-Control-RF,BK,0.65,650 MS.,,0.42,0.29,-0.23,0.65,-0.35,0.35,-1.24
5-Control-RF,BK,0.65,650 MS.,,0.49,0.16,-0.16,0.75,-0.25,0.25,-1.8
5-Control-RF,BK,0.65,650 MS.,,0.46,0.15,-0.19,0.71,-0.29,0.29,-1.91
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.46,0.12,-0.19,0.71,-0.29,0.29,-2.12
5-Control-RF,BK,0.65,650 MS.,,0.48,0.13,-0.17,0.74,-0.26,0.26,-2.05
5-Control-RF,BK,0.65,650 MS.,,0.41,0.16,-0.24,0.63,-0.37,0.37,-1.82
5-Control-RF,BK,0.65,650 MS.,,0.49,0.12,-0.16,0.75,-0.25,0.25,-2.14
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.47,0.22,-0.18,0.73,-0.27,0.27,-1.52
5-Control-RF,BK,0.65,650 MS.,,0.46,0.25,-0.19,0.7,-0.3,0.3,-1.39
5-Control-RF,BK,0.65,650 MS.,,0.49,0.32,-0.16,0.75,-0.25,0.25,-1.14
5-Control-RF,BK,0.65,650 MS.,,0.46,0.12,-0.19,0.7,-0.3,0.3,-2.15
5-Control-RF,BK,0.65,650 MS.,,0.47,0.35,-0.18,0.73,-0.27,0.27,-1.05
5-Control-RF,BK,0.65,650 MS.,,0.44,0.22,-0.21,0.68,-0.32,0.32,-1.53
5-Control-RF,BK,0.65,650 MS.,,0.52,0.23,-0.13,0.8,-0.2,0.2,-1.48
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.57,0.25,-0.08,0.87,-0.13,0.13,-1.39
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.51,0.12,-0.14,0.79,-0.21,0.21,-2.15
5-Control-RF,BK,0.65,650 MS.,,0.50,0.20,-0.15,0.78,-0.22,0.22,-1.61
5-Control-RF,BK,0.65,650 MS.,,0.41,0.22,-0.24,0.63,-0.37,0.37,-1.52
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.60,0.20,-0.05,0.92,-0.08,0.08,-1.61
5-Control-RF,BK,0.65,650 MS.,,0.48,0.20,-0.17,0.74,-0.26,0.26,-1.61
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.54,0.11,-0.11,0.82,-0.18,0.18,-2.25
5-Control-RF,BK,0.65,650 MS.,,0.45,0.12,-0.2,0.69,-0.31,0.31,-2.11
5-Control-RF,BK,0.65,650 MS.,,0.47,0.13,-0.18,0.73,-0.27,0.27,-2.03
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.46,0.22,-0.19,0.71,-0.29,0.29,-1.52
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.40,0.23,-0.25,0.62,-0.38,0.38,-1.46
5-Control-RF,BK,0.65,650 MS.,,0.55,0.33,-0.1,0.85,-0.15,0.15,-1.12
5-Control-RF,BK,0.65,650 MS.,,0.43,0.22,-0.22,0.66,-0.34,0.34,-1.52
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.51,0.36,-0.14,0.79,-0.21,0.21,-1.02
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,0.43,0.11,-0.22,0.66,-0.34,0.34,-2.18
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
5-Control-RF,BK,0.65,650 MS.,,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,0.74,0.27,0.09,1.13,0.13,-0.13,-1.31
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,0.86,0.11,0.21,1.32,0.32,-0.32,-2.22
6-Prediction-RF,BK,0.65,650 MS.,TRUE,1.00,0.11,0.35,1.54,0.54,-0.54,-2.24
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,1.00,0.19,0.35,1.54,0.54,-0.54,-1.65
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,0.74,0.39,0.09,1.13,0.13,-0.13,-0.94
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,1.16,0.16,0.51,1.78,0.78,-0.78,-1.85
6-Prediction-RF,BK,0.65,650 MS.,TRUE,0.67,0.19,0.02,1.03,0.03,-0.03,-1.66
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,0.83,0.13,0.18,1.28,0.28,-0.28,-2
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,0.97,0.11,0.32,1.49,0.49,-0.49,-2.17
6-Prediction-RF,BK,0.65,650 MS.,FALSE,1.03,0.15,0.38,1.59,0.59,-0.59,-1.92
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,TRUE,,,,,,,
6-Prediction-RF,BK,0.65,650 MS.,FALSE,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.50,0.90,-0.15,0.76,-0.24,0.24,-0.11
7-Control- FF,BK,0.65,650 MS.,,0.50,0.51,-0.15,0.78,-0.22,0.22,-0.67
7-Control- FF,BK,0.65,650 MS.,,0.51,0.29,-0.14,0.79,-0.21,0.21,-1.24
7-Control- FF,BK,0.65,650 MS.,,0.50,0.26,-0.15,0.76,-0.24,0.24,-1.36
7-Control- FF,BK,0.65,650 MS.,,0.65,0.19,0,1,0,0,-1.65
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.45,0.22,-0.2,0.69,-0.31,0.31,-1.49
7-Control- FF,BK,0.65,650 MS.,,0.57,0.20,-0.08,0.87,-0.13,0.13,-1.62
7-Control- FF,BK,0.65,650 MS.,,0.52,0.28,-0.13,0.8,-0.2,0.2,-1.28
7-Control- FF,BK,0.65,650 MS.,,0.52,0.14,-0.13,0.8,-0.2,0.2,-1.94
7-Control- FF,BK,0.65,650 MS.,,0.49,0.20,-0.16,0.75,-0.25,0.25,-1.63
7-Control- FF,BK,0.65,650 MS.,,0.39,0.33,-0.26,0.6,-0.4,0.4,-1.1
7-Control- FF,BK,0.65,650 MS.,,0.54,0.17,-0.11,0.82,-0.18,0.18,-1.77
7-Control- FF,BK,0.65,650 MS.,,0.48,0.25,-0.17,0.74,-0.26,0.26,-1.37
7-Control- FF,BK,0.65,650 MS.,,0.54,0.22,-0.11,0.82,-0.18,0.18,-1.52
7-Control- FF,BK,0.65,650 MS.,,0.53,0.20,-0.12,0.81,-0.19,0.19,-1.59
7-Control- FF,BK,0.65,650 MS.,,0.48,0.20,-0.17,0.74,-0.26,0.26,-1.6
7-Control- FF,BK,0.65,650 MS.,,0.56,0.32,-0.09,0.86,-0.14,0.14,-1.14
7-Control- FF,BK,0.65,650 MS.,,0.51,0.18,-0.14,0.79,-0.21,0.21,-1.69
7-Control- FF,BK,0.65,650 MS.,,0.46,0.33,-0.19,0.71,-0.29,0.29,-1.1
7-Control- FF,BK,0.65,650 MS.,,0.50,0.24,-0.15,0.76,-0.24,0.24,-1.44
7-Control- FF,BK,0.65,650 MS.,,0.54,0.26,-0.11,0.82,-0.18,0.18,-1.36
7-Control- FF,BK,0.65,650 MS.,,0.50,0.50,-0.15,0.78,-0.22,0.22,-0.69
7-Control- FF,BK,0.65,650 MS.,,0.44,0.18,-0.21,0.68,-0.32,0.32,-1.74
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.50,0.13,-0.15,0.76,-0.24,0.24,-2.08
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.55,0.15,-0.1,0.85,-0.15,0.15,-1.92
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.50,0.11,-0.15,0.76,-0.24,0.24,-2.19
7-Control- FF,BK,0.65,650 MS.,,0.50,0.18,-0.15,0.78,-0.22,0.22,-1.7
7-Control- FF,BK,0.65,650 MS.,,0.50,0.20,-0.15,0.78,-0.22,0.22,-1.59
7-Control- FF,BK,0.65,650 MS.,,0.54,0.18,-0.11,0.82,-0.18,0.18,-1.71
7-Control- FF,BK,0.65,650 MS.,,0.44,0.11,-0.21,0.68,-0.32,0.32,-2.17
7-Control- FF,BK,0.65,650 MS.,,0.45,0.28,-0.2,0.69,-0.31,0.31,-1.26
7-Control- FF,BK,0.65,650 MS.,,0.46,0.21,-0.19,0.7,-0.3,0.3,-1.58
7-Control- FF,BK,0.65,650 MS.,,0.46,0.15,-0.19,0.7,-0.3,0.3,-1.92
7-Control- FF,BK,0.65,650 MS.,,0.50,0.17,-0.15,0.76,-0.24,0.24,-1.77
7-Control- FF,BK,0.65,650 MS.,,0.47,0.15,-0.18,0.73,-0.27,0.27,-1.87
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.42,0.53,-0.23,0.64,-0.36,0.36,-0.64
7-Control- FF,BK,0.65,650 MS.,,,,,,,,
7-Control- FF,BK,0.65,650 MS.,,0.48,0.55,-0.17,0.74,-0.26,0.26,-0.6
0-Control-RR,BK2,0.18,150-450 MS.,,0.15,0.95,-0.02,0.86,-0.14,0.14,-0.05
0-Control-RR,BK2,0.42,150-450 MS.,,0.07,1.16,-0.34,0.17,-0.83,0.83,0.15
0-Control-RR,BK2,0.59,450-750 MS.,,0.59,0.81,0.01,1.01,0.01,-0.01,-0.21
0-Control-RR,BK2,0.35,150-450 MS.,,,,,,,,
0-Control-RR,BK2,0.96,750-1150 MS.,,0.18,1.18,-0.77,0.19,-0.81,0.81,0.17
0-Control-RR,BK2,0.8,750-1150 MS.,,0.10,0.95,-0.71,0.12,-0.88,0.88,-0.05
0-Control-RR,BK2,0.41,150-450 MS.,,0.30,0.78,-0.11,0.73,-0.27,0.27,-0.25
0-Control-RR,BK2,0.21,150-450 MS.,,0.21,0.80,0,0.98,-0.02,0.02,-0.22
0-Control-RR,BK2,0.42,150-450 MS.,,,,,,,,
0-Control-RR,BK2,1.04,750-1150 MS.,,0.23,1.23,-0.8,0.22,-0.78,0.78,0.21
0-Control-RR,BK2,0.33,150-450 MS.,,0.16,0.84,-0.17,0.49,-0.51,0.51,-0.17
0-Control-RR,BK2,1.11,750-1150 MS.,,0.36,1.04,-0.75,0.33,-0.67,0.67,0.03
0-Control-RR,BK2,0.73,450-750 MS.,,0.23,0.95,-0.5,0.32,-0.68,0.68,-0.05
0-Control-RR,BK2,0.82,750-1150 MS.,,0.31,0.89,-0.51,0.38,-0.62,0.62,-0.12
0-Control-RR,BK2,0.33,150-450 MS.,,,,,,,,
0-Control-RR,BK2,0.46,450-750 MS.,,0.45,0.61,-0.01,0.98,-0.02,0.02,-0.49
0-Control-RR,BK2,0.98,750-1150 MS.,,0.30,1.02,-0.68,0.3,-0.7,0.7,0.02
0-Control-RR,BK2,0.8,750-1150 MS.,,,,,,,,
0-Control-RR,BK2,1.06,750-1150 MS.,,0.24,1.82,-0.82,0.23,-0.77,0.77,0.6
0-Control-RR,BK2,0.92,750-1150 MS.,,0.45,0.86,-0.47,0.49,-0.51,0.51,-0.16
0-Control-RR,BK2,0.52,450-750 MS.,,,,,,,,
0-Control-RR,BK2,1.11,750-1150 MS.,,0.82,0.84,-0.29,0.74,-0.26,0.26,-0.18
0-Control-RR,BK2,0.89,750-1150 MS.,,0.39,0.75,-0.5,0.44,-0.56,0.56,-0.29
0-Control-RR,BK2,0.48,450-750 MS.,,,,,,,,
0-Control-RR,BK2,0.75,750-1150 MS.,,0.39,0.60,-0.36,0.52,-0.48,0.48,-0.51
0-Control-RR,BK2,0.37,150-450 MS.,,0.11,0.76,-0.26,0.3,-0.7,0.7,-0.28
0-Control-RR,BK2,1.08,750-1150 MS.,,,,,,,,
0-Control-RR,BK2,0.18,150-450 MS.,,,,,,,,
0-Control-RR,BK2,0.2,150-450 MS.,,0.24,0.62,0.04,1.17,0.17,-0.17,-0.48
0-Control-RR,BK2,1.05,750-1150 MS.,,0.22,0.54,-0.82,0.21,-0.79,0.79,-0.61
0-Control-RR,BK2,0.28,150-450 MS.,,0.19,0.70,-0.09,0.69,-0.31,0.31,-0.36
0-Control-RR,BK2,1.11,750-1150 MS.,,0.49,0.54,-0.62,0.44,-0.56,0.56,-0.61
0-Control-RR,BK2,0.51,450-750 MS.,,,,,,,,
0-Control-RR,BK2,0.46,450-750 MS.,,0.38,1.58,-0.08,0.82,-0.18,0.18,0.46
0-Control-RR,BK2,0.66,450-750 MS.,,0.06,0.64,-0.6,0.09,-0.91,0.91,-0.44
0-Control-RR,BK2,0.32,150-450 MS.,,0.22,0.58,-0.1,0.68,-0.32,0.32,-0.54
0-Control-RR,BK2,0.71,450-750 MS.,,0.23,0.73,-0.48,0.33,-0.67,0.67,-0.31
0-Control-RR,BK2,0.62,450-750 MS.,,0.20,0.65,-0.42,0.32,-0.68,0.68,-0.44
0-Control-RR,BK2,0.35,150-450 MS.,,0.06,0.53,-0.29,0.18,-0.82,0.82,-0.64
0-Control-RR,BK2,0.71,450-750 MS.,,0.07,0.48,-0.63,0.1,-0.9,0.9,-0.74
0-Control-RR,BK2,0.53,450-750 MS.,,0.28,0.32,-0.25,0.53,-0.47,0.47,-1.14
0-Control-RR,BK2,0.98,750-1150 MS.,,0.22,1.11,-0.76,0.22,-0.78,0.78,0.11
0-Control-RR,BK2,0.86,750-1150 MS.,,0.21,1.32,-0.65,0.24,-0.76,0.76,0.28
0-Control-RR,BK2,0.73,450-750 MS.,,0.12,0.83,-0.61,0.16,-0.84,0.84,-0.19
0-Control-RR,BK2,0.22,150-450 MS.,,0.12,1.71,-0.1,0.55,-0.45,0.45,0.54
0-Control-RR,BK2,0.87,750-1150 MS.,,,,,,,,
0-Control-RR,BK2,1,750-1150 MS.,,0.35,0.58,-0.64,0.35,-0.65,0.65,-0.55
0-Control-RR,BK2,1.06,750-1150 MS.,,0.18,0.63,-0.89,0.17,-0.83,0.83,-0.47
0-Control-RR,BK2,0.86,750-1150 MS.,,0.25,0.90,-0.61,0.29,-0.71,0.71,-0.11
0-Control-RR,BK2,0.18,150-450 MS.,,0.38,1.53,0.19,2.04,1.04,-1.04,0.42
1-Motor-FF,BK2,0.65,650 MS.,TRUE,0.28,0.56,-0.37,0.43,-0.57,0.57,-0.57
1-Motor-FF,BK2,0.65,650 MS.,FALSE,0.32,0.39,-0.33,0.49,-0.51,0.51,-0.95
1-Motor-FF,BK2,0.65,650 MS.,TRUE,0.16,0.58,-0.49,0.25,-0.75,0.75,-0.55
1-Motor-FF,BK2,0.65,650 MS.,FALSE,0.13,0.52,-0.52,0.2,-0.8,0.8,-0.65
